N° CERTIF.,CODIGO,CODIGO DE BARRAS,PRINCIPIO  ACTIVO,DESCRIPCIÓN,PRESENTACION,PSL(s/IVA),PSL(c/IVA),PVP
43788,7059511,7795381410502,GABAPENTIN,NEURONTIN ,400 mg x 60 cápsulas, $  34.094 , $  41.254 , $  59.818 
43788,7059512,7795381410533,GABAPENTIN,NEURONTIN ,600 mg x 30 tabletas, $  20.446 , $  24.740 , $  35.872 
36820,ARD2OE011G1,7798333230043,ESTRIOL,ORGESTRIOL,Crema vaginal x 15 grs. c/aplic., $  10.764 , $  13.025 , $  18.886 
36820,ARFUOE100C1,7798333230098,ESTRIOL,ORGESTRIOL,Ovulos x 10, $  12.032 , $  14.558 , $  21.110 
17870,ARD1PU255B1,7798333230340,MERCAPTOPURINA,PURINETHOL,50 mg comp x 25, $  90.146 , $  109.076 , $  158.161 
58198,7059515,7795381002035,ELETRIPTAN,RELPAX ,40mg x 6 comprimidos, $  22.575 , $  27.316 , $  39.608 
47001,7059522,7795381410663,SILDENAFIL,VIAGRA,50 mg x 2 compr., $  6.117 , $  7.402 , $  10.732 
47001,7059521,7795381001915,SILDENAFIL,VIAGRA,50mg tab 10, $  39.178 , $  47.405 , $  68.737 
47001,7059523,7795381001922,SILDENAFIL,VIAGRA,50mg tab 20, $  45.309 , $  54.824 , $  79.494 
43503,7059517,7791824117656,ALPRAZOLAM,XANAX,"0,50 mg x 60 tabletas", $  5.168 , $  6.253 , $  9.067 
43503,7059519,7791824117670,ALPRAZOLAM,XANAX,1 mg x 60 tabletas, $  7.596 , $  9.191 , $  13.327 
43503,7059516,7791824117700,ALPRAZOLAM,XANAX ,"0,50 mg x 30 tabletas", $  2.771 , $  3.353 , $  4.862 
43503,7059518,7791824117663,ALPRAZOLAM,XANAX ,1 mg x 30 tabletas, $  4.275 , $  5.173 , $  7.501 
49538,7059734,7795381410236,ZIPRASIDONA,ZELDOX ,20 mg x 30 cápsulas, $  63.377 , $  76.687 , $  111.196 
49538,7059735,7795381410243,ZIPRASIDONA,ZELDOX ,40 mg x 30 cápsulas, $  66.379 , $  80.319 , $  116.462 
49538,7059736,7795381410250,ZIPRASIDONA,ZELDOX ,60 mg x 30 cápsulas, $  73.519 , $  88.958 , $  128.989 
49538,7059737,7795381410267,ZIPRASIDONA,ZELDOX ,80 mg x 30 cápsulas, $  92.681 , $  112.144 , $  162.609 
42749,7059487,7795381410106,SERTRALINA,ZOLOFT ,100 mg x 30 tabletas, $  23.891 , $  28.908 , $  41.917 
42749,7059488,7795381407106,SERTRALINA,ZOLOFT ,50 mg. x 30 tabletas, $  13.291 , $  16.082 , $  23.319 
42749,7059489,7795381411745,SERTRALINA,ZOLOFT ,50 mg. x 60 tabletas, $  24.568 , $  29.727 , $  43.105 
