CODIGO,descripcion,presentacion,Precio Final,Precio Comp
TA107104,LOSARTAN  (VINTEX),50 mg x 1000 comp,"$121.587,37","$121,587"
TA107904,LOSARTAN  (VINTEX),100 mg x 1000 comp,"$162.819,71","$162,820"
TA109700,SECODAL (LORAZEPAM),1 mg x 500 comp,"$20.237,92","$40,476"
TA109800,SECODAL (LORAZEPAM),2 mg x 500 comp,"$23.645,91","$47,292"
TA109900,SECODAL (LORAZEPAM),"2,5 mg x 500 comp","$25.349,89","$50,700"
TA1010000,SECODAL  sub (LORAZEPAM),1 mg x 500 comp sub,"$21.941,90","$43,884"
TA1010100,SECODAL  sub (LORAZEPAM),2 mg x 500 comp sub,"$25.690,70","$51,381"
TA105903,METFORMINA ROSPAW,500 mg x 1000 comp,"$181.090,13","$181,090"
TA106900,METFORMINA ROSPAW AP,850 mg x 500 comp,"$123.975,86","$247,952"
TA100803,MORFINA G. (GNO),30 mg x 50 comp,"$66.415,97","$1.328,319"
TA103003,OLANZAPINA,5 mg X 1008 comp,"$237.245,25","$ 235,362"
TA103003,OLANZAPINA,10 mg x 1008 comp,"$338.719,15","$ 336,031"
TA104702,PAROXETINA (PAROXIN),10 mg x 1000 comp,"$160.378,95","$ 160,379"
TA104803,PAROXETINA (PAROXIN),20 mg x 1000 comp,"$229.405,32","$ 229,405"
TA106700,PREGABALINA (SERIPRAM),75 mg x 1000 comp dividosis,"$300.388,99","$ 300,389"
TA106400,PREGABALINA (SERIPRAM),75 mg x 900 caps,"$380.540,37","$ 380,540"
TA106500,PREGABALINA (SERIPRAM),150 mg x 900 caps,"$432.312,58","$ 480,347"
TA105400,PROMETAZINA (ROSTAZINA),25 mg x 1000 comp,"$142.759,36","$ 142,759"
TA102400,QUETIAPINA.(QUETIAROS),25 mg x 1000 comp,"$173.062,18","$ 173,062"
TA102500,QUETIAPINA.(QUETIAROS),100 mg x 1000 comp,"$253.349,53","$ 253,350"
TA102602,QUETIAPINA.(QUETIAROS),200 mg x 1000 comp,"$378.812,73","$ 378,813"
TA101000,SERTRALINA,50 mg x 1000 comp,"$161.986,46","$ 161,986"
TA101100,SERTRALINA,100 mg x 1000 comp,"$228.550,60","$ 228,551"
TA107500,VENLAFAXINA  (FAXIPAW),25 mg x 500 comp,"$73.387,52","$146,775"
TA107600,VENLAFAXINA  (FAXIPAW),50 mg x 500 comp,"$103.397,17","$206,794"
TA107700,VENLAFAXINA  (FAXIPAW),75 mg x 500 comp,"$131.808,84","$263,618"
TA103702,ZOLPIDEM. (DORMIROS),10 mg x 1000 comp,"$204.734,90","$ 204,735"
