descripcion,presentacion,CODIGO,Precio Final,Precio Comp,LÃ­nea,PresentaciÃ³n,Envase,Principio Activo,PresentaciÃ³nedwerwer,CÃ³digo,EAN 13,Producto,Unnamed: 5,DROGUERIA,DROGUERIA.1,SUGERIDO,Cert.,PresentaciÃ³ncaca,codigo,descripcionhgdf,Unnamed: 2,descripcion_presentacion
IBUPROFENO ROSPAW,600 mg x 500 comp,TA107800,"$111.985,86","$223,972",,,,,,,,,,,,,,,,,,IBUPROFENO ROSPAW 600 mg x 500 comp
KETOROLAC  (KETIAL),10 mg x 1000 comp,TA107200,"$86.071,96","$86,072",,,,,,,,,,,,,,,,,,KETOROLAC  (KETIAL) 10 mg x 1000 comp
KETOROLAC  (KETIAL),20 mg x 1000 comp,TA107300,"$99.871,95","$99,872",,,,,,,,,,,,,,,,,,KETOROLAC  (KETIAL) 20 mg x 1000 comp
KETOROLAC SUBLINGUAL (KETIAL),10 mg SL x 1000 comp,TA107400,"$90.340,79","$90,341",,,,,,,,,,,,,,,,,,KETOROLAC SUBLINGUAL (KETIAL) 10 mg SL x 1000 comp
LEVOMEPROMAZINA (MEPROZIN),2 mg x 1000 comp,TA103800,"$114.595,24","$114,595",,,,,,,,,,,,,,,,,,LEVOMEPROMAZINA (MEPROZIN) 2 mg x 1000 comp
LEVOMEPROMAZINA (MEPROZIN),25 mg x 1000 comp,TA103900,"$160.068,93","$160,069",,,,,,,,,,,,,,,,,,LEVOMEPROMAZINA (MEPROZIN) 25 mg x 1000 comp
LEVOMEPROMAZINA (MEPROZIN),100 mg x 500 comp,TA104000,"$214.977,67","$429,955",,,,,,,,,,,,,,,,,,LEVOMEPROMAZINA (MEPROZIN) 100 mg x 500 comp
LOPERAMIDA(LOPERIX),2 mg x 1000 comp,TA103603,"$76.716,89","$76,717",,,,,,,,,,,,,,,,,,LOPERAMIDA(LOPERIX) 2 mg x 1000 comp
LORATADINA ROSPAW,10 mg x 1000 comp,TA107005,"$88.415,45","$88,415",,,,,,,,,,,,,,,,,,LORATADINA ROSPAW 10 mg x 1000 comp
LOSARTAN  (VINTEX),50 mg x 1000 comp,TA107104,"$121.587,37","$121,587",,,,,,,,,,,,,,,,,,LOSARTAN  (VINTEX) 50 mg x 1000 comp
LOSARTAN  (VINTEX),100 mg x 1000 comp,TA107904,"$162.819,71","$162,820",,,,,,,,,,,,,,,,,,LOSARTAN  (VINTEX) 100 mg x 1000 comp
SECODAL (LORAZEPAM),1 mg x 500 comp,TA109700,"$20.237,92","$40,476",,,,,,,,,,,,,,,,,,SECODAL (LORAZEPAM) 1 mg x 500 comp
SECODAL (LORAZEPAM),2 mg x 500 comp,TA109800,"$23.645,91","$47,292",,,,,,,,,,,,,,,,,,SECODAL (LORAZEPAM) 2 mg x 500 comp
SECODAL (LORAZEPAM),"2,5 mg x 500 comp",TA109900,"$25.349,89","$50,700",,,,,,,,,,,,,,,,,,"SECODAL (LORAZEPAM) 2,5 mg x 500 comp"
SECODAL  sub (LORAZEPAM),1 mg x 500 comp sub,TA1010000,"$21.941,90","$43,884",,,,,,,,,,,,,,,,,,SECODAL  sub (LORAZEPAM) 1 mg x 500 comp sub
SECODAL  sub (LORAZEPAM),2 mg x 500 comp sub,TA1010100,"$25.690,70","$51,381",,,,,,,,,,,,,,,,,,SECODAL  sub (LORAZEPAM) 2 mg x 500 comp sub
METFORMINA ROSPAW,500 mg x 1000 comp,TA105903,"$181.090,13","$181,090",,,,,,,,,,,,,,,,,,METFORMINA ROSPAW 500 mg x 1000 comp
METFORMINA ROSPAW AP,850 mg x 500 comp,TA106900,"$123.975,86","$247,952",,,,,,,,,,,,,,,,,,METFORMINA ROSPAW AP 850 mg x 500 comp
MORFINA G. (GNO),30 mg x 50 comp,TA100803,"$66.415,97","$1.328,319",,,,,,,,,,,,,,,,,,MORFINA G. (GNO) 30 mg x 50 comp
OLANZAPINA,5 mg X 1008 comp,TA103003,"$237.245,25","$ 235,362",,,,,,,,,,,,,,,,,,OLANZAPINA 5 mg X 1008 comp
OLANZAPINA,10 mg x 1008 comp,TA103003,"$338.719,15","$ 336,031",,,,,,,,,,,,,,,,,,OLANZAPINA 10 mg x 1008 comp
PAROXETINA (PAROXIN),10 mg x 1000 comp,TA104702,"$160.378,95","$ 160,379",,,,,,,,,,,,,,,,,,PAROXETINA (PAROXIN) 10 mg x 1000 comp
PAROXETINA (PAROXIN),20 mg x 1000 comp,TA104803,"$229.405,32","$ 229,405",,,,,,,,,,,,,,,,,,PAROXETINA (PAROXIN) 20 mg x 1000 comp
PREGABALINA (SERIPRAM),75 mg x 1000 comp dividosis,TA106700,"$300.388,99","$ 300,389",,,,,,,,,,,,,,,,,,PREGABALINA (SERIPRAM) 75 mg x 1000 comp dividosis
PREGABALINA (SERIPRAM),75 mg x 900 caps,TA106400,"$380.540,37","$ 380,540",,,,,,,,,,,,,,,,,,PREGABALINA (SERIPRAM) 75 mg x 900 caps
PREGABALINA (SERIPRAM),150 mg x 900 caps,TA106500,"$432.312,58","$ 480,347",,,,,,,,,,,,,,,,,,PREGABALINA (SERIPRAM) 150 mg x 900 caps
PROMETAZINA (ROSTAZINA),25 mg x 1000 comp,TA105400,"$142.759,36","$ 142,759",,,,,,,,,,,,,,,,,,PROMETAZINA (ROSTAZINA) 25 mg x 1000 comp
QUETIAPINA.(QUETIAROS),25 mg x 1000 comp,TA102400,"$173.062,18","$ 173,062",,,,,,,,,,,,,,,,,,QUETIAPINA.(QUETIAROS) 25 mg x 1000 comp
QUETIAPINA.(QUETIAROS),100 mg x 1000 comp,TA102500,"$253.349,53","$ 253,350",,,,,,,,,,,,,,,,,,QUETIAPINA.(QUETIAROS) 100 mg x 1000 comp
QUETIAPINA.(QUETIAROS),200 mg x 1000 comp,TA102602,"$378.812,73","$ 378,813",,,,,,,,,,,,,,,,,,QUETIAPINA.(QUETIAROS) 200 mg x 1000 comp
SERTRALINA,50 mg x 1000 comp,TA101000,"$161.986,46","$ 161,986",,,,,,,,,,,,,,,,,,SERTRALINA 50 mg x 1000 comp
SERTRALINA,100 mg x 1000 comp,TA101100,"$228.550,60","$ 228,551",,,,,,,,,,,,,,,,,,SERTRALINA 100 mg x 1000 comp
VENLAFAXINA  (FAXIPAW),25 mg x 500 comp,TA107500,"$73.387,52","$146,775",,,,,,,,,,,,,,,,,,VENLAFAXINA  (FAXIPAW) 25 mg x 500 comp
VENLAFAXINA  (FAXIPAW),50 mg x 500 comp,TA107600,"$103.397,17","$206,794",,,,,,,,,,,,,,,,,,VENLAFAXINA  (FAXIPAW) 50 mg x 500 comp
VENLAFAXINA  (FAXIPAW),75 mg x 500 comp,TA107700,"$131.808,84","$263,618",,,,,,,,,,,,,,,,,,VENLAFAXINA  (FAXIPAW) 75 mg x 500 comp
ZOLPIDEM. (DORMIROS),10 mg x 1000 comp,TA103702,"$204.734,90","$ 204,735",,,,,,,,,,,,,,,,,,ZOLPIDEM. (DORMIROS) 10 mg x 1000 comp
LEXOTANIL 3 MG COMP. X 20,,,,,Neurociencias,,,,,,,,,,,,,,,,,LEXOTANIL 3 MG COMP. X 20 
LEXOTANIL 3 MG COMP. X 30,,,,,Neurociencias,,,,,,,,,,,,,,,,,LEXOTANIL 3 MG COMP. X 30 
LEXOTANIL 3 MG COMP. X 50,,,,,Neurociencias,,,,,,,,,,,,,,,,,LEXOTANIL 3 MG COMP. X 50 
LEXOTANIL 6 MG COMP. X 30,,,,,Neurociencias,,,,,,,,,,,,,,,,,LEXOTANIL 6 MG COMP. X 30 
LEXOTANIL 6 MG COMP. X 50,,,,,Neurociencias,,,,,,,,,,,,,,,,,LEXOTANIL 6 MG COMP. X 50 
AKATINOL 10 MG COMP REC X 28,,,,,Neurociencias,,,,,,,,,,,,,,,,,AKATINOL 10 MG COMP REC X 28 
AKATINOL 20 MG COMP REC X 28,,,,,Neurociencias,,,,,,,,,,,,,,,,,AKATINOL 20 MG COMP REC X 28 
BRIVIACT 25 MG COMP. REC. X 28,,,,,Neurociencias,,,,,,,,,,,,,,,,,BRIVIACT 25 MG COMP. REC. X 28 
BRIVIACT  50 MG COMP REC X 28,,,,,Neurociencias,,,,,,,,,,,,,,,,,BRIVIACT  50 MG COMP REC X 28 
BRIVIACT 100 MG COMP REC X 28,,,,,Neurociencias,,,,,,,,,,,,,,,,,BRIVIACT 100 MG COMP REC X 28 
BRIVIACT 10 MG/ML VIAL X 5 ML IV X 10,,,,,Neurociencias,,,,,,,,,,,,,,,,,BRIVIACT 10 MG/ML VIAL X 5 ML IV X 10 
Briviact SoluciÃ³n Oral 10 mg/ml x 300 ml,,,,,Neurociencias,,,,,,,,,,,,,,,,,Briviact SoluciÃ³n Oral 10 mg/ml x 300 ml 
Briviact SoluciÃ³n Oral 10 mg/ml x 300 ml,,,,,Neurociencias,,,,,,,,,,,,,,,,,Briviact SoluciÃ³n Oral 10 mg/ml x 300 ml 
CIRCADIN 2 MG X 30 COMP LIBERACION PROLONGADA,,,,,Neurociencias,,,,,,,,,,,,,,,,,CIRCADIN 2 MG X 30 COMP LIBERACION PROLONGADA 
VIMPAT  50 MG COMP REC X 14,,,,,Neurociencias,,,,,,,,,,,,,,,,,VIMPAT  50 MG COMP REC X 14 
VIMPAT 100 MG COMP REC X 28,,,,,Neurociencias,,,,,,,,,,,,,,,,,VIMPAT 100 MG COMP REC X 28 
VIMPAT 150 MG COMP REC X 28,,,,,Neurociencias,,,,,,,,,,,,,,,,,VIMPAT 150 MG COMP REC X 28 
VIMPAT 200 MG COMP REC X 28,,,,,Neurociencias,,,,,,,,,,,,,,,,,VIMPAT 200 MG COMP REC X 28 
NEUPRO 2 MG/24HS PARCHE TRANSDERM. X 7,,,,,Neurociencias,,,,,,,,,,,,,,,,,NEUPRO 2 MG/24HS PARCHE TRANSDERM. X 7 
NEUPRO 4 MG/24HS PARCHE TRANSDERM. X 14,,,,,Neurociencias,,,,,,,,,,,,,,,,,NEUPRO 4 MG/24HS PARCHE TRANSDERM. X 14 
NEUPRO 6 MG/24HS PARCHE TRANSDERM. X 14,,,,,Neurociencias,,,,,,,,,,,,,,,,,NEUPRO 6 MG/24HS PARCHE TRANSDERM. X 14 
NEUPRO 8 MG/24HS PARCHE TRANSDERM. X 14,,,,,Neurociencias,,,,,,,,,,,,,,,,,NEUPRO 8 MG/24HS PARCHE TRANSDERM. X 14 
CONTRACTUBEX GEL X 20 G,,,,,Derma,,,,,,,,,,,,,,,,,CONTRACTUBEX GEL X 20 G 
CONTRACTUBEX GEL X 50 G,,,,,Derma,,,,,,,,,,,,,,,,,CONTRACTUBEX GEL X 50 G 
FUCICORT CREMA X 15 G,,,,,Derma,,,,,,,,,,,,,,,,,FUCICORT CREMA X 15 G 
FUCIDIN CREMA X 15 G,,,,,Derma,,,,,,,,,,,,,,,,,FUCIDIN CREMA X 15 G 
FUCIDIN H CREMA X 15 G,,,,,Derma,,,,,,,,,,,,,,,,,FUCIDIN H CREMA X 15 G 
FUCIDIN UNGÃENTO X 15 G,,,,,Derma,,,,,,,,,,,,,,,,,FUCIDIN UNGÃENTO X 15 G 
IXEMPRA INY 15 MG /8 ML X 1 FCO AMP,,,,,Trat. Especiales,,,,,,,,,,,,,,,,,IXEMPRA INY 15 MG /8 ML X 1 FCO AMP 
SUPREFACT DEPOT JERINGA X 1,,,,,Trat. Especiales,,,,,,,,,,,,,,,,,SUPREFACT DEPOT JERINGA X 1 
TACLONEX GEL X 30 G,,,,,Derma,,,,,,,,,,,,,,,,,TACLONEX GEL X 30 G 
TACLONEX UNGÃENTO X 30 G,,,,,Derma,,,,,,,,,,,,,,,,,TACLONEX UNGÃENTO X 30 G 
VIMPAT  50 MG COMP REC X 14,,,,,Neurociencias,,,,,,,,,,,,,,,,,VIMPAT  50 MG COMP REC X 14 
VIMPAT 100 MG COMP REC X 28,,,,,Neurociencias,,,,,,,,,,,,,,,,,VIMPAT 100 MG COMP REC X 28 
VIMPAT 150 MG COMP REC X 28,,,,,Neurociencias,,,,,,,,,,,,,,,,,VIMPAT 150 MG COMP REC X 28 
VIMPAT 200 MG COMP REC X 28,,,,,Neurociencias,,,,,,,,,,,,,,,,,VIMPAT 200 MG COMP REC X 28 
VIMPAT 200 MG soluciÃ³n inyectable  x 1 Fco amp 20ml,,,,,Neurociencias,,,,,,,,,,,,,,,,,VIMPAT 200 MG soluciÃ³n inyectable  x 1 Fco amp 20ml 
NEUPRO 2 MG/24HS PARCHE TRANSDERM. X 7,,,,,Neurociencias,,,,,,,,,,,,,,,,,NEUPRO 2 MG/24HS PARCHE TRANSDERM. X 7 
NEUPRO 4 MG/24HS PARCHE TRANSDERM. X 14,,,,,Neurociencias,,,,,,,,,,,,,,,,,NEUPRO 4 MG/24HS PARCHE TRANSDERM. X 14 
NEUPRO 6 MG/24HS PARCHE TRANSDERM. X 14,,,,,Neurociencias,,,,,,,,,,,,,,,,,NEUPRO 6 MG/24HS PARCHE TRANSDERM. X 14 
NEUPRO 8 MG/24HS PARCHE TRANSDERM. X 14,,,,,Neurociencias,,,,,,,,,,,,,,,,,NEUPRO 8 MG/24HS PARCHE TRANSDERM. X 14 
LOSEC 20 MG X 28 COMP,,,,,clinica,,,,,,,,,,,,,,,,,LOSEC 20 MG X 28 COMP 
"CUROSURF 120 vial x 1,5 ml",,,,,clinica,,,,,,,,,,,,,,,,,"CUROSURF 120 vial x 1,5 ml "
"CUROSURF 240 vial x 3,0 ml",,,,,clinica,,,,,,,,,,,,,,,,,"CUROSURF 240 vial x 3,0 ml "
KONAKION MM 10 MG AMP X 5,,,,,clinica,,,,,,,,,,,,,,,,,KONAKION MM 10 MG AMP X 5 
Vesanoid 10 mg x 100 caps.,,,,,Trat. Especiales,,,,,,,,,,,,,,,,,Vesanoid 10 mg x 100 caps. 
Valixa 450 mg x 60 comprimidos,,,,,Trat. Especiales,,,,,,,,,,,,,,,,,Valixa 450 mg x 60 comprimidos 
"CUROSURF 120 vial x 1,5 ml",,,,,clinica,,,,,,,,,,,,,,,,,"CUROSURF 120 vial x 1,5 ml "
"CUROSURF 240 vial x 3,0 ml",,,,,clinica,,,,,,,,,,,,,,,,,"CUROSURF 240 vial x 3,0 ml "
XELODA 500 MG X 120 COMP,,,,,Trat. Especiales,,,,,,,,,,,,,,,,,XELODA 500 MG X 120 COMP 
SUPREFACT DEPOT JERINGA X 1,,,,,Trat. Especiales,,,,,,,,,,,,,,,,,SUPREFACT DEPOT JERINGA X 1 
LEXOTANIL 3 MG COMP. X 30,,,,,Neurociencias,,,,,,,,,,,,,,,,,LEXOTANIL 3 MG COMP. X 30 
LEXOTANIL 6 MG COMP. X 30,,,,,Neurociencias,,,,,,,,,,,,,,,,,LEXOTANIL 6 MG COMP. X 30 
LEXOTANIL 6 MG COMP. X 50,,,,,Neurociencias,,,,,,,,,,,,,,,,,LEXOTANIL 6 MG COMP. X 50 
LOSEC 20 MG X 28 COMP.,,,,,clinica,,,,,,,,,,,,,,,,,LOSEC 20 MG X 28 COMP. 
KONAKION MM 10 MG AMP X 5,,,,,clinica,,,,,,,,,,,,,,,,,KONAKION MM 10 MG AMP X 5 
RIVOTRIL 0.5 mg Comp x 30,,,,,Neurociencias,,,,,,,,,,,,,,,,,RIVOTRIL 0.5 mg Comp x 30 
RIVOTRIL 0.5 mg comp.x 50,,,,,Neurociencias,,,,,,,,,,,,,,,,,RIVOTRIL 0.5 mg comp.x 50 
RIVOTRIL 0.5 mg Comp x 60,,,,,Neurociencias,,,,,,,,,,,,,,,,,RIVOTRIL 0.5 mg Comp x 60 
RIVOTRIL 2 mg Comp x 30,,,,,Neurociencias,,,,,,,,,,,,,,,,,RIVOTRIL 2 mg Comp x 30 
RIVOTRIL 2 mg Comp x 50,,,,,Neurociencias,,,,,,,,,,,,,,,,,RIVOTRIL 2 mg Comp x 50 
RIVOTRIL 2 mg Comp x 60,,,,,Neurociencias,,,,,,,,,,,,,,,,,RIVOTRIL 2 mg Comp x 60 
Vesanoid 10 mg x 100 caps.,,,,,Trat. Especiales,,,,,,,,,,,,,,,,,Vesanoid 10 mg x 100 caps. 
Rohypnol 1 mg x 30 comprimidos,,,,,Neurociencias,,,,,,,,,,,,,,,,,Rohypnol 1 mg x 30 comprimidos 
XELODA 500 MG X 120 COMP,,,,,Trat. Especiales,,,,,,,,,,,,,,,,,XELODA 500 MG X 120 COMP 
Valixa 450 mg x 60 comprimidos,,,,,Trat. Especiales,,,,,,,,,,,,,,,,,Valixa 450 mg x 60 comprimidos 
ATACAND TAB 8MG BL 2X14 EA AR,,,,,clinica,,,,,,,,,,,,,,,,,ATACAND TAB 8MG BL 2X14 EA AR 
ATACAND TAB 16MG BL 2X14 EA AR,,,,,clinica,,,,,,,,,,,,,,,,,ATACAND TAB 16MG BL 2X14 EA AR 
ATACAND TAB 32MG BL 2X14 EA AR,,,,,clinica,,,,,,,,,,,,,,,,,ATACAND TAB 32MG BL 2X14 EA AR 
"ATACAND D 8 MG/12,5 MG x 28 COMP",,,,,clinica,,,,,,,,,,,,,,,,,"ATACAND D 8 MG/12,5 MG x 28 COMP "
ATACAND D 16 MG x 28 COMP,,,,,clinica,,,,,,,,,,,,,,,,,ATACAND D 16 MG x 28 COMP 
Fampyra 10mg Frasco x56,,,,,Neurociencias,,,,,,,,,,,,,,,,,Fampyra 10mg Frasco x56 
"NeurocienciasEXENTO IVA*115901,221146385",,,,,,,,,,,,,,,,,,,,,,"NeurocienciasEXENTO IVA*115901,221146385 "
"NeurocienciasEXENTO IVA*57285,2855634334",,,,,,,,,,,,,,,,,,,,,,"NeurocienciasEXENTO IVA*57285,2855634334 "
"clinicaEXENTO IVA*76384,298264608",,,,,,,,,,,,,,,,,,,,,,"clinicaEXENTO IVA*76384,298264608 "
