descripcion,presentacion
IBU MEJORAL 400,Comprimidos con 10 comprimidos
IBU MEJORAL NIÑOS  4%,Solución con 90 ml
IBU MEJORAL RA 400,Cápsulas con 10 cápsulas
,
MEGACISTIN,Comprimidos con 60
MEGACISTIN,Shampoo con 200 ml
MEGACISTIN COLÁGENO,Polvo con  350 Gr
MEGACISTIN BLOCKER,Cápsulas blandas con 30
MEGACISTIN MAX,Comprimidos con 30
MEGACISTIN MAX,Loción con 120 ml
MEGACISTIN MAX,Shampoo con 200 ml
,
MEJORAL PARA NIÑOS 80 mg,Comprimidos masticables con 20 comprimidos masticables
MEJORAL PARA NIÑOS EXPENDEDOR,Comprimidos masticables con 30 blister con 10 comp. masticables
MEJORAL PARA NIÑOS GOTAS,Solución con 1 frasco con 20 ml
MEJORAL PARA NIÑOS JUNIOR  160 mg,Comprimidos masticables con 10 comprimidos masticables
MEJORAL PARA NIÑOS JUNIOR  160 mg,Comprimidos masticables con 20 comprimidos masticables
MEJORAL PARA NIÑOS JUNIOR EXPENDEDOR,Comprimidos masticables con 30 blister con 10 comp. masticables
,
MEJORAL PAR. 500 mg,Comprimidos masticables con 30 comprimidos masticables
,
MELATOL 3 mg,Cápsulas con 30 cápsulas
MELATOL 3 mg,Cápsulas con 60 cápsulas
MELATOL 3 mg,Comprimidos con 15 comprimidos
MELATOL 3 mg,Comprimidos con 30 comprimidos
MELATOL 3 mg,Comprimidos con 60 comprimidos
MELATOL DIFEN,Comprimidos con 10 comprimidos
MELATOL PLUS,Comprimidos con 20 comprimidos
MELATOL PLUS,Comprimidos con 30 comprimidos
MELATOL DIA RELAX,Comprimidos con 20 comprimidos
MELATOL DIA RELAX,Comprimidos con 30 comprimidos
,
MERTHIOLATE ANESTESICO,Solución  con 45 ml
MERTHIOLATE ANESTESICO,Solución  con 60 ml
MERTHIOLATE BEBE,Crema con 40 gamos
MERTHIOLATE CICATRIZANTE,Crema con 50 gramos
MERTHIOLATE FILM,Aerosol con 30 ml
MERTHIOLATE INCOLORO NF GOTERO,Solución  con 60 ml
MERTHIOLATE IODOPOVIDONA,Solución  con 60 ml
MERTHIOLATE NF SPRAY,Solución  con 60 ml
,
METABOLIC  CLA,Cápsulas Capsulas blandas x 28
METABOLIC  CLA,Cápsulas Capsulas blandas x 60
METABOLIC MAX,Cápsulas Capsulas blandas x 60
,
NEUMOBRON,Caramelos con 9
NEUMOBRON TOS,Jarabe con 120 ml
,
ORALSONE BENZOCAINA,Gel con 10 gramos
ORALSONE C,Caramelos con 9
ORALSONE HERPES,Crema con 5 gramos
ORALSONE TOPIC,Solución  con 20 ml
ORALSONE TOPIC MAX,Solución  con 20 ml
,
PERGALEN NF,Crema con 30 g
,
SINRONCAR SPRAY BUCAL,Spray con 50 ml
,
SNELLA GEL,Gel 60 gr
SNELLA JABÓN INTIMO,Jabón líquido con 220 ml
,
VARISEDAN IMVI,Gel 400 gr
VARISEDAN IMVI (**),Comprimidos con 30
VARISEDAN IMVI (**),Comprimidos con 60
,
VARISEDAN BODY IMVI,Frasco x 400 ml
,
VARISEDAN & BODY IMVI,KIT x 800 ml
,
VITENE CELULLITE,Cápsulas con 30
,
ZENELIS MAREOS,Comprimidos con 10
COLAGENO NUTRIFARMA,Comprimidos con 30 comprimidos
LEVADURA VIRGEN MANZANA,Caja con 1 caja con 200 g
LEVADURA VIRGEN NUTRILEVA NATURAL,Caja con 1 caja con 200 g
LEVADURA VIRGEN NUTRILEVA NATURAL,Caja con 1 caja con 500 g
LEVADURA VIRGEN NUTRILEVA QUESO,Caja con 1 caja con 200 g
OMEGA 3 NUTRIFARMA,Cápsulas blandas 1000 mg con 30 capsulas blandas
REPELLWORK LOC,Spray con 100 ml
,
ADEROGYL con 1,"1,10E+11"
,"1,10E+11"
APASMOcon 20 ml,"1,10E+11"
APASMO COMPUESTO con 20 comprimidos,
,"1,10E+11"
IBU MEJORAL 600con 10 comprimidos,
,"1,10E+11"
IBU MEJORAL RA 600con 10 cápsulas,
IBU MEJORAL RA 600con 20 cápsulas,"1,10E+11"
,
IBU MEJORAL FLEX  con 10 comprimidos,"1,10E+11"
IBU MEJORAL FLEX  600 con 10 comprimidos,"1,10E+11"
,"1,10E+11"
MARATHON caps blandas TEVA (**)con 30 cápsulas,"1,10E+11"
MARATHON caps blandas TEVA (**)con 60 cápsulas,"1,10E+11"
