Código,EAN 13,Producto,presentacion,Envase,,DROGUERIA,DROGUERIA,SUGERIDO
"3,90E+11","7,80E+12",UTROGESTAN 200 BESINS X 28 CAPS,,,,"53.430,23","64.650,57","93.743,33"
"3,90E+11","7,80E+12",UTROGESTAN 200 BESINS X 42 CAPS,,,,"78.281,04","94.720,06","137.344,09"
"3,90E+11","7,80E+12",UTROGESTAN 200 BESINS X 14 CAPS,,,,"26.631,53","32.224,15","46.725,02"
"3,90E+11","7,80E+12",UTROGESTAN 100 BESINS X 30 CAPS,,,,"27.137,49","32.836,37","47.612,73"
"3,90E+11","7,80E+12",ZOMACTON 10 MG,,,,"1.139.498,83","1.378.793,58","1.999.250,69"
"3,90E+11","7,80E+12",ZOMACTON 1 X 4,,,,"455.799,00","551.516,79","799.699,34"
"3,90E+11","7,80E+12",CORTIMENT TAB 9 MG BLIS X 20 COMP.,,,,"130.431,83","157.822,51","228.842,64"
"3,90E+11","7,80E+12","REKOVELLE SOL INY 12MCG/0,36ML",,,,"177.448,04","214.712,13","311.332,59"
"3,90E+11","7,80E+12","REKOVELLE SOL INY 36MCG/1,08ML",,,,"407.484,54","493.056,30","714.931,63"
"3,90E+11","7,80E+12","REKOVELLE SOL INY 72MCG/2,16ML",,,,"814.969,08","986.112,59","1.429.863,25"
,,"299749,8539",,,,,,
,,"185006,3139",,,,,,
,,"92014,7939",,,,,,
,,"174047,4139",,,,,,
,,"95848,4339",,,,,,
,,"384436,4739",,,,,,
,,"698436,1339",,,,,,
,,"757403,4539",,,,,,
,,"1,49E+18",,,,,,
,,"564883,2139",,,,,,
,,"372648,8839",,,,,,
,,"2074829,514",,,,,,
,,"130902,9139",,,,,,
,,"1272304,114",,,,,,
