niprod,cod_prod,des_prod,niprov,cod_prov,rsoc,cod_prodpr,cod_barrpr,fecvig,cost_usual,cost_ext,plazo_pago,pc_pv,prec_uc,prec_uc_ext,preferido
121691,58204,ENSURE PLUS chocolate env.x 220 ml,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,22/12/2023,0,0,0,0,"909,09","909,09",0
121692,58205,ENSURE PLUS frutilla env.x 220 ml,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,09/02/2024,0,0,0,0,"2444,73","2444,73",0
121693,58203,ENSURE PLUS vainilla env.x 220 ml,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,22/12/2023,0,0,0,0,"909,09","909,09",0
122638,LVS-00003,JEVITY RTH 1000ML,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,20/07/2023,0,0,0,0,"2466,4","2466,4",0
122640,LVS-00005,GLUCERNA RTH 1000ML,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,28/04/2022,0,0,0,0,"1321,56","1321,56",0
122645,LVS-00011,GLUCERNA POLVO 400GRS,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,14/04/2023,0,0,0,0,"2909,678542","2909,678542",0
122654,LVS-00020,PEDIASURE POLVO VAINILLA - LATA X 400GRS,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,11/04/2023,0,0,0,0,"2034,54","2034,54",0
122661,LVS-00027,ENSURE ADVANCE VAINILLA 850GRS,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,25/11/2022,0,0,0,0,"3941,623594","3941,623594",0
122667,LVS-00033,FREEGO SET ENTERAL ROSCA,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,19/07/2022,0,0,0,0,"772,1361111","772,1361111",0
122689,LVS-00056,NEPRO AP,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,21/09/2022,0,0,0,0,"501,46","501,46",0
122691,LVS-00058,ENSURE POLVO VAINILLA 400GRS - NUEVO ESTUCHE CARTON,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,20/07/2023,0,0,0,0,"3088,862","3088,862",0
122692,LVS-00059,ENSURE POLVO VAINILLA 800GRS - NUEVO ESTUCHE CARTON,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,18/12/2023,0,0,0,0,"11994,255","11994,255",0
122693,LVS-00060,ENSURE PLUS NUEVA PRESENTACION- SABOR FRUTILLA X 220 ML,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,20/04/2023,0,0,0,0,"645,92","645,92",0
122694,LVS-00061,ENSURE PLUS NUEVA PRESENTACION- SABOR VAINILLA X 220 ML,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,20/04/2023,0,0,0,0,"645,92","645,92",0
122696,LVS-00063,ENSURE POLVO VAINILLA 1200GRS - NUEVO ESTUCHE CARTON,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,04/11/2022,0,0,0,0,"4246,508","4246,508",0
122902,MEG-IAG-00153,MAXICARDIL 10MG,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,08/09/2022,0,0,0,0,"247,63","247,63",0
124377,LVS-00066,JEVITY PLUS RTH ENVASE X 1000ML ABBOTT,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,04/02/2023,0,0,0,0,"2113,92","2113,92",0
124468,LVS-00068,ENSURE PLUS VAINILLA 220ML ABBOTT,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,03/03/2022,0,0,0,0,"258,8343333","258,8343333",0
124648,ALI-ALI00,OSMOLITE HN RTH ENV x 1000 ml,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,25/03/2022,0,0,0,0,"1223,73","1223,73",0
124653,LVS-00074,ALTERNA PEPTIDO RTH,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,25/03/2022,0,0,0,0,"1497,965","1497,965",0
125067,59809,PEDIASURE vainilla env.x 220 ml,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,27/10/2023,0,0,0,0,"1057,86","1057,86",0
125697,ALI-ALI01,OSMOLITE HN RTH env.x 500 ml,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,62691ve001,,22/08/2022,0,0,,0,0,0,1
128493,PME-INT-01921,INTRODUCTOR PEEL AWAY 8fr - MARCA ST. JUDE,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,23/06/2023,0,0,0,0,"11905,08","11905,08",0
128494,PME-INT-01922,INTRODUCTOR PEEL AWAY 9fr - MARCA ST. JUDE,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,23/06/2023,0,0,0,0,"11905,08","11905,08",0
129350,61257,GLUCERNA POLVO vainilla lata x 400 g,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,22/12/2023,0,0,0,0,"4132,23","4132,23",0
20993,49832,FORXIGA 10 mg comp.x 28,2,LAB0002,ASTRA ZENECA S.A.,,,14/07/2023,0,0,0,0,"13060,66","13060,66",0
20994,43180,FREVIA 160/4.5 mcg x 120 dosis,2,LAB0002,ASTRA ZENECA S.A.,,,16/02/2024,0,0,0,0,"32974,132","32974,132",0
21000,56961,IMFINZI 500 mg vial x 1 x 10 ml,2,LAB0002,ASTRA ZENECA S.A.,,,12/12/2024,0,0,0,0,"5106619,32","5106619,32",0
21043,45426,NEXIUM 10 mg sobres x 28,2,LAB0002,ASTRA ZENECA S.A.,,,09/12/2024,0,0,0,0,"27829,75957","27829,76",0
21045,28424,NEXIUM 20 mg comp.rec.x 28,2,LAB0002,ASTRA ZENECA S.A.,,,10/03/2022,0,0,0,0,"1884,541","1884,541",0
21048,28426,NEXIUM 40 mg comp.rec.x 28,2,LAB0002,ASTRA ZENECA S.A.,,,10/03/2022,0,0,0,0,"2760,709","2760,709",0
21166,9800,ZOLADEX 3.6 mg depot x 1,2,LAB0002,ASTRA ZENECA S.A.,,,28/06/2023,0,0,0,0,"76466,52","76466,52",0
123434,59014,LOKELMA sob. x 30 x 10 g,2,LAB0002,ASTRA ZENECA S.A.,,,14/07/2023,0,0,0,0,"119790,74","119790,74",0
123435,59013,LOKELMA sob. x 30 x 5 g,2,LAB0002,ASTRA ZENECA S.A.,,,21/07/2023,0,0,0,0,"115434,7","115434,7",0
127960,MEE-EST-01680,SOLIRIS - ECULIZUMAB 300mg/30ml - Astra zeneca,2,LAB0002,ASTRA ZENECA S.A.,,,26/08/2024,0,0,0,0,"4028349,453","4028349,453",0
131073,61646,SAPHNELO 300 mg vial x 1 x 2 ml,2,LAB0002,ASTRA ZENECA S.A.,,,08/01/2025,0,0,0,0,"929556,5","929556,5",0
132435,61828,ENHERTU 100 mg vial x 1,2,LAB0002,ASTRA ZENECA S.A.,,,08/01/2025,0,0,0,0,"2748053,44","2748053,44",0
133551,HEL-MTH-02736,ULTOMIRIS RAVULIZUMAB 300MG/3ML F.A. - ASTRA,2,LAB0002,ASTRA ZENECA S.A.,,,18/12/2024,0,0,0,0,4292303,4292303,0
102554,47408,OPACRILE 370 370 mg f.a.x 50 ml,3,LAB0003,B. BRAUN MEDICAL S.A.,,,06/10/2022,0,0,0,0,"2460,53","2460,53",0
107762,55443,AGUA DESTILADA INYECTABLE SIST.CERRADO EP env.x 500 ml,3,LAB0003,B. BRAUN MEDICAL S.A.,,,13/01/2023,0,0,0,0,"164,9956","164,9956",0
107767,24481,AMINOPLASMAL 10% 10% fco.x 500 ml,3,LAB0003,B. BRAUN MEDICAL S.A.,,,17/11/2022,0,0,0,0,"2652,235","2652,235",0
107792,24492,GELAFUNDIN 4% fco.x 10 x 500 ml,3,LAB0003,B. BRAUN MEDICAL S.A.,,,12/07/2024,0,0,0,0,"9759,32","9759,32",0
107795,51942,ISOFUNDIN ecoflac.env.x 10 x 500ml,3,LAB0003,B. BRAUN MEDICAL S.A.,,,17/10/2024,0,0,0,0,"4228,9137","4228,9137",0
107830,54129,PARACETAMOL B.BRAUN ecof.x 1000mg/100ml x 10,3,LAB0003,B. BRAUN MEDICAL S.A.,,,05/08/2024,0,0,0,0,"103915,284","103915,284",0
107842,55440,SOLUC.DEXTROSA AL 5% SIST.CERRADO EP env.x 100 ml,3,LAB0003,B. BRAUN MEDICAL S.A.,,,29/12/2022,0,0,0,0,"119,9957","119,9957",0
107844,55442,SOLUC.DEXTROSA AL 5% SIST.CERRADO EP env.x 500 ml,3,LAB0003,B. BRAUN MEDICAL S.A.,,,05/01/2023,0,0,0,0,"195,0036005","195,0036005",0
107846,55437,SOLUC.FISIOLOGICA 0.9% SIST.CERRADO EP env.x 100 ml,3,LAB0003,B. BRAUN MEDICAL S.A.,,,05/08/2024,0,0,0,0,"879,4643","879,4643",0
107848,554-39 -,SOLUC.FISIOLOGICA 0.9% SIST.CERRADO EP env.x 500 ml,3,LAB0003,B. BRAUN MEDICAL S.A.,,,13/01/2023,0,0,0,0,"170,005","170,005",0
107857,55436,SOLUC.RINGER CON LACTATO SIST.CERRADO EP env.x 500 ml,3,LAB0003,B. BRAUN MEDICAL S.A.,,,02/05/2024,0,0,0,0,"1864,91","1864,91",0
107859,50656,TRACUTIL f.a.x 1 x 10 ml,3,LAB0003,B. BRAUN MEDICAL S.A.,,,29/08/2024,0,0,0,0,"21529,98","21529,98",0
122036,DEC-DES00,MANGO PARA ELECTROBISTURI ESTERIL CON CABLE Y FICHA USO UNICO - AESCULAP,3,LAB0003,B. BRAUN MEDICAL S.A.,,,01/11/2022,0,0,0,0,"764,51","764,51",0
122368,PME-INT-03361,PERIFIX 301 MINI SET LOR - COD 4513010] - TD 20G PERICAN 18G CONECTOR  JER LOR,3,LAB0003,B. BRAUN MEDICAL S.A.,,,07/06/2022,0,0,0,0,"1522,35","1522,35",0
122455,PME-SUT-03333,PERIFIX 402  COD 4514025 - STD 19G - PERICAN 16G - FILTRO - CONECTOR - JGA LOR,3,LAB0003,B. BRAUN MEDICAL S.A.,,,18/10/2022,0,0,0,0,"1975,37","1975,37",0
122811,MEG-IAG-00062,NO USAR- REPETIDO VIEWG,3,LAB0003,B. BRAUN MEDICAL S.A.,,,06/10/2022,0,0,0,0,"1558,48","1558,48",0
123071,MEG-IAG-00323,ISOFUNDIN 500ML - B. BRAUN MEDICAL S.A.,3,LAB0003,B. BRAUN MEDICAL S.A.,,,27/09/2023,0,0,0,0,"736,4","736,4",0
123112,MEG-IAG-00364,GELAFUNDIN 4% - GELATINA SUCCINILADA - CLORURO DE SODIO - HIDROXIDO DE SODIO - SOLUCION PARA INFUSION INTRAVENOSA - GEL,3,LAB0003,B. BRAUN MEDICAL S.A.,,,02/09/2022,0,0,0,0,"1079,0901","1079,0901",0
123207,PME-SUT-00043,DAFILON CALIBRE 4/0 AZUL 45CM CON AGUJA DS19 - REFERENCIA C0932205 - EQUIVALENCIA J&J 14502T,3,LAB0003,B. BRAUN MEDICAL S.A.,,,07/03/2024,0,0,0,0,"38022,84","38022,84",0
123211,PME-SUT-00047,"SILKAM BLACK CALIBRE 4/0 (1,5) COLOR NEGRA 75CM CON AGUJA HR17 DDP - REFERENCIA C0760137 - MARCA BRAUN - EQUIV.(K871T)",3,LAB0003,B. BRAUN MEDICAL S.A.,,,15/10/2024,0,0,0,0,"56119,32","56119,32",0
123218,PME-SUT-00054,DAFILON CALIBRE 3/0 AZUL 45CM CON AGUJA DS30MM [C0932469] EQUIVALENCIA (1171T),3,LAB0003,B. BRAUN MEDICAL S.A.,,,05/07/2024,0,0,0,0,"48963,09667","48963,09667",0
123220,PME-SUT-00056,OPTILENE CALIBRE 2/0 AZUL 90CM CON 2 AGUJA HR26 - CDIGO C3090909,3,LAB0003,B. BRAUN MEDICAL S.A.,,,04/08/2023,0,0,0,0,"34133,61667","34133,61667",0
123223,PME-SUT-00059,MONOSYN CALIBRE 3/0 (2) INCOLORA 70CM AGUJA DS19 (M) RCP - REFERENCIA C2023405 - MARCA B. BRAUN MEDICAL S.A.,3,LAB0003,B. BRAUN MEDICAL S.A.,,,15/10/2024,0,0,0,0,"135590,4","135590,4",0
123226,PME-SUT-00062,CLIP LIGADURA MEDIUM-LARGE (20 CARTUCHOS  120 UNIDADES) - REFERENCIA PL568T,3,LAB0003,B. BRAUN MEDICAL S.A.,,,27/11/2024,0,0,0,0,"209536,64","209536,64",0
123227,PME-SUT-00063,OPTILENE CALIBRE 4/0 AZUL 90CM CON 2 AGUJA HR26 - CDIGO C3090907,3,LAB0003,B. BRAUN MEDICAL S.A.,,,22/09/2023,0,0,0,0,"44800,34333","44800,34333",0
123252,PME-SUT-00088,OPTILENE CALIBRE 1 AZUL 150CM CON AGUJA HR65 - CDIGO B3095584,3,LAB0003,B. BRAUN MEDICAL S.A.,,,27/09/2022,0,0,0,0,"19087,63333","19087,63333",0
123254,PME-SUT-00090,NOVOSYN CALIBRE 1 VIOLETA 90CM 36 CON AGUJA HR37SMM - REFERENCIA C0068597N1 - B.BRAUN MEDICAL S.A.,3,LAB0003,B. BRAUN MEDICAL S.A.,,,15/10/2024,0,0,0,0,"92653,56","92653,56",0
123257,PME-SUT-00093,NOVOSYN CALIBRE 1 VIOLETA 140CM 56 SIN AGUJA - REFERENCIA C0058209 - MARCA B. BRAUN MEDICAL S.A.,3,LAB0003,B. BRAUN MEDICAL S.A.,,,15/10/2024,0,0,0,0,"109225,44","109225,44",0
123258,PME-SUT-00094,NOVOSYN CALIBRE 4/0 VIOLETA 70CM 28 CON AGUJA HR26MM - REFERENCIA C0068040,3,LAB0003,B. BRAUN MEDICAL S.A.,,,26/02/2024,0,0,0,0,"77404,68","77404,68",0
123259,PME-SUT-00095,NOVOSYN CALIBRE 3/0 VIOLETA 70CM 28 CON AGUJA HR26MM - REFERENCIA C0068041N1- MARCA BRAUN,3,LAB0003,B. BRAUN MEDICAL S.A.,,,15/10/2024,0,0,0,0,"92653,56","92653,56",0
123922,PME-SUT-00221,"CERA PARA HUESOS 2,5GRS. - BONE WAX - CóDIGO 1029754 - MARCA BRAUN",3,LAB0003,B. BRAUN MEDICAL S.A.,,,26/01/2022,0,0,0,0,"5573,825","5573,825",0
123923,PME-SUT-00222,"NOVOSYN CALIBRE 2/0 VIOLETA 70CM 28"" CON AGUJA HR26 - REFERENCIA C0068042 - MARCA BRAUN",3,LAB0003,B. BRAUN MEDICAL S.A.,,,15/10/2024,0,0,0,0,"92653,56","92653,56",0
123957,PME-SUT-00242,"NOVOSYN CALIBRE 3/0 VIOLETA 70CM 28"" CON AGUJA DS30MM [REFERENCIA C0068246N1] - MARCA B. BRAUN MEDICAL S.A.",3,LAB0003,B. BRAUN MEDICAL S.A.,,,15/10/2024,0,0,0,0,"105459,12","105459,12",0
124079,PME-SUT-00314,DAFILON 2/0 45CM CON AGUJA DS30 DDP - REFERENCIA  C0932477 - CAJA X 36 UNIDADES UM: CAJA - MARCA BRAUN,3,LAB0003,B. BRAUN MEDICAL S.A.,,,15/10/2024,0,0,0,0,"48963,24","48963,24",0
124510,PME-SUT-00438,"NOVOSYN 2/0 VIOLETA 70CM 28"" CON AGUJA HR37S REFERENCIA C0068095N1 - MARCA B. BRAUN MEDICAL S.A.",3,LAB0003,B. BRAUN MEDICAL S.A.,,,15/10/2024,0,0,0,0,"92653,56","92653,56",0
125023,SUS-SUS-02763,SOLUCION FISIOLOGICA ECOFLAC 100 ML - B BRAUN,3,LAB0003,B. BRAUN MEDICAL S.A.,,,31/05/2022,0,0,0,0,"72,4185","72,4185",0
125031,DES-DES00,PERFUS INFUSOMAT SPACE LINE B. BRAUN,3,LAB0003,B. BRAUN MEDICAL S.A.,,,20/07/2022,0,0,0,0,"740,78","740,78",0
125252,PME-SUT-01057,OPTILENE CALIBRE 3/0 (2) 90CM CON 2HR26 - CDIGO C3090908 - MARCA B . BRAUN,3,LAB0003,B. BRAUN MEDICAL S.A.,C3090908,,24/11/2023,0,0,0,0,"44800,344","127,964",1
125580,PME-SUT-01136,OPTILENE CALIBRE 0 (3.5) 75CM CON aguja HR26 - CODIGO C3090043 - MARCA B. BRAUN MEDICAL S.A.,3,LAB0003,B. BRAUN MEDICAL S.A.,C3090043,,24/11/2023,0,0,30,"42,49","31101,57","88,835",1
125830,DEC-JER-02378,"PERIFIX 401 - SET CON FILTRO PERIFIX STD 20G, PERICAN 18G, PERIFIX FILTER, CONECTOR. JERINGA LOR [REF 4514017] - B BRAUN",3,LAB0003,B. BRAUN MEDICAL S.A.,,,17/08/2023,0,0,0,0,"3942,91","3942,91",0
126045,DES-DES01,ELECTRODO NEUTRO UNIVERSAL DIODO - AESCULAP,3,LAB0003,B. BRAUN MEDICAL S.A.,,,18/10/2022,0,0,0,0,"219,87","219,87",0
126087,PME-SUT-01279,NOVOSYN CALIBRE 5/0 VIOLETA 70CM 28 CON AGUJA HR17  - REFERENCIA C0068012,3,LAB0003,B. BRAUN MEDICAL S.A.,,,04/03/2024,0,0,0,0,"75516,66667","75516,667",0
126464,DEC-AGU-01527,PERICAN 18G X 80MM AGUJA PARA ANESTESIA PERIDURAL. PUNTA TUOHY 4512383  - B BRAUN,3,LAB0003,B. BRAUN MEDICAL S.A.,,,27/12/2022,0,0,0,0,"616,02","616,02",0
126558,PME-SUT-01562,OPTILENE CALIBRE 5/0 75CM CON 2 AGUJAS HR17 CV RCP - [REFERENCIA C3090501],3,LAB0003,B. BRAUN MEDICAL S.A.,,,12/12/2022,0,0,0,0,"19347,60833","19347,60833",0
126559,PME-SUT-01563,OPTILENE CALIBRE 1 75CM CON AGUJA HR37 (M)RCP - [REFERENCIA C3090053],3,LAB0003,B. BRAUN MEDICAL S.A.,,,12/12/2022,0,0,0,0,"14107,21667","14107,21667",0
126560,PME-SUT-01564,"NOVOSYN CALIBRE 4/0 (1,5) VIOLETA 70CM CON AGUJA HR17(M) DDP - REFERENCIA C0068013",3,LAB0003,B. BRAUN MEDICAL S.A.,,,12/12/2022,0,0,0,0,"8540,54","8540,54",0
127695,PME-INT-01607,CERTOFIX  DUO V720 - SET CVC 2 LUMEN 7 FR 20CM - MARCA B.BRAUN,3,LAB0003,B. BRAUN MEDICAL S.A.,4161211-07,,09/09/2023,0,0,0,100,"7767,33","7767,33",1
128296,DEC-AGU-01829,STIMUPLEX ULTRA 360 BISEL 30º  20G 100mm - SA - ECOGENICA - REF. 4892510-04 - MARCA B. BRAUN MEDICAL S.A.,3,LAB0003,B. BRAUN MEDICAL S.A.,,,23/11/2023,0,0,0,0,"7490,54","7490,54",0
128297,DEC-AGU-01830,STIMUPLEX ULTRA 360 BISEL 30º  20G 150mm - SA - ECOGENICA - REF. 4892515-04 - MARCA B. BRAUN MEDICAL S.A.,3,LAB0003,B. BRAUN MEDICAL S.A.,,,11/05/2023,0,0,0,0,"2396,35","2396,35",0
128471,PME-SUT-01914,NOVOSYN CALIBRE 1 VIOLETA 70 CM AGUJA HR40S(M) RCP REF: C0068057N1,3,LAB0003,B. BRAUN MEDICAL S.A.,,,06/07/2023,0,0,0,0,"18035,082","18035,082",0
129187,DEC-DES-00007,METHA CAP 1214 130°/0° TAM.2 - MARCA AESCULAP - REF. NC272T,3,LAB0003,B. BRAUN MEDICAL S.A.,,,29/09/2023,0,0,0,0,"2746,53","2746,53",0
129188,PME-CMI-00008,TORNILLO DE FIJACION DE 6.5MM L28MM SW3.5 MARCA AESCULAP - REF. NV013T,3,LAB0003,B. BRAUN MEDICAL S.A.,,,29/09/2023,0,0,0,0,"40,01","40,01",0
129189,DEC-DEC-00008,TORNILLO DE FIJACION DE 6.5MM L36MM SW3.5 MARCA AESCULAP - REF. NV015T,3,LAB0003,B. BRAUN MEDICAL S.A.,,,29/09/2023,0,0,0,0,"40,01","40,01",0
129190,ROR-ABS-00008,PLASMAFIT PLUS 3 COTILO TAM.52MM G MARCA AESCULAP - REF. NV252T,3,LAB0003,B. BRAUN MEDICAL S.A.,,,29/09/2023,0,0,0,0,"1000,44","1000,44",0
129191,APA-BAL-00008,VITELENE INSERTO G 36MM POST WALL MARCA AESCULAP - REF. NV313E,3,LAB0003,B. BRAUN MEDICAL S.A.,,,29/09/2023,0,0,0,0,"409,59","409,59",0
129192,ROR-SRU-00008,BIOLOX DELTA CABEZA PROT. 12/14 36MM S - MARCAAESCULAP - REF. NK650D,3,LAB0003,B. BRAUN MEDICAL S.A.,,,29/09/2023,0,0,0,0,"743,49","743,49",0
129452,DEC-AGU-02310,STIMUPLEX ULTRA 360 BISEL 30º  22G 50mm - SA - ECOGENICA - REF. 4892505-04 - MARCA B. BRAUN MEDICAL S.A.,3,LAB0003,B. BRAUN MEDICAL S.A.,,,23/11/2023,0,0,0,0,"7460,08","7460,08",0
129594,MEG-IAG-01852,SOLUCION FISIOLOGICA 10ml - Contenedor de PE-LE- Aguja Free - B.BRAUN,3,LAB0003,B. BRAUN MEDICAL S.A.,,,16/12/2023,0,0,0,0,"122,0527","122,0527",0
130958,PME-SUT-03462,MONOSYN CALIBRE 0 VIOLETA (3)  70CM AGUJA HR37 - REFERENCIA C2022047,3,LAB0003,B. BRAUN MEDICAL S.A.,,,03/06/2024,0,0,0,0,"129133,7433","129133,7433",0
133370,MEG-IAG-02685,TRACUTIL f.a.x 5 x 10 ml,3,LAB0003,B. BRAUN MEDICAL S.A.,,,12/09/2024,0,0,0,0,"26051,2758","26051,2758",0
95038,52411,ADEMPAS 2.0 mg comp.x 84,4,LAB0004,BAYER S.A.,,,31/05/2022,0,0,0,0,"642782,41","642782,41",0
95048,41502,ASPIRINA PREVENT comp.cub.enterica x 20,4,LAB0004,BAYER S.A.,,,23/09/2022,0,0,0,0,"171,2242","171,2242",0
95049,41503,ASPIRINA PREVENT comp.cub.enterica x 50,4,LAB0004,BAYER S.A.,,,23/09/2022,0,0,0,0,"373,8292","373,8292",0
95072,23768,CIPRO 50 mg/ml susp.x 100 ml,4,LAB0004,BAYER S.A.,,,13/01/2022,0,0,0,0,"2716,891","2716,891",0
95091,50314,GADOVIST f.a.x 7.5 ml,4,LAB0004,BAYER S.A.,,,29/08/2024,0,0,0,0,"25608,2444","25608,2444",0
95117,PSI317477,LUMINAL comp.x 60,4,LAB0004,BAYER S.A.,,,10/03/2022,0,0,0,0,"865,656","865,656",0
95118,PSI301211,LUMINALETAS comp.x 30,4,LAB0004,BAYER S.A.,,,10/03/2022,0,0,0,0,"349,9245","349,9245",0
95123,14785,MESIGYNA iny.IM a.x 1 ml,4,LAB0004,BAYER S.A.,,,11/09/2023,0,0,0,0,"1135,307184","1135,307184",0
95130,46423,MIRENA dispos.intrauterino x 1,4,LAB0004,BAYER S.A.,,,05/07/2024,0,0,0,0,"276621,2757","276621,2757",0
95133,56782,NEBIDO 1000 mg vial x 1 x 4 ml,4,LAB0004,BAYER S.A.,,,29/02/2024,0,0,0,0,"69193,1148","69193,1148",0
95145,51317,PRIMOLUT NOR 10 mg blíst.comp.x 20,4,LAB0004,BAYER S.A.,,,26/12/2022,0,0,0,0,"2694,23","2694,23",0
95154,8310,PROLUTON DEPOT 500 mg IM iny.a.ol.x 2ml,4,LAB0004,BAYER S.A.,,,13/01/2022,0,0,0,0,"735,259","735,259",0
95170,MEG-IAG-02732,ULTRAVIST 300 mg f.a.x 100 ml,4,LAB0004,BAYER S.A.,,,12/11/2024,0,0,0,0,"39922,2127","39922,2127",0
95171,50310,ULTRAVIST 300 mg f.a.x 50 ml,4,LAB0004,BAYER S.A.,,,02/01/2025,0,0,0,0,"20206,75146","20206,75146",0
95173,50313,ULTRAVIST 370 mg f.a.x 100 ml,4,LAB0004,BAYER S.A.,,,02/01/2025,0,0,0,0,"47542,98019","47542,98019",0
95174,50312,ULTRAVIST 370 mg f.a.x 50 ml,4,LAB0004,BAYER S.A.,,,02/01/2025,0,0,0,0,"23771,4901","23771,4901",0
95186,43411,XARELTO 10 mg comp.x 10,4,LAB0004,BAYER S.A.,,,23/09/2022,0,0,0,0,"10513,35","10513,35",0
95192,47812,XARELTO 20 mg comp.x 28,4,LAB0004,BAYER S.A.,,,13/01/2022,0,0,0,0,"7529,276667","7529,276667",0
113057,30128,ACTRON cáps.gelat.blanda x 20,4,LAB0004,BAYER S.A.,,,28/12/2021,0,0,0,0,"186,9848","186,9848",0
113058,34037,ACTRON 600 RAPIDA ACCION cáps.gelat.blanda x 10,4,LAB0004,BAYER S.A.,,,15/02/2024,0,0,0,0,"2952,542513","2952,542513",0
