descripcion,Principio Activo,Presentaciónedwerwer,Envase,presentacion
LUMICLAR,"Inosina 0,1%",Solución Oftálmica Estéril,Frasco por 10 ml,Solución Oftálmica Estéril Frasco por 10 ml
LUSIC,Polisorbato 80  1%  - Glicerina 1%,Solución Oftálmica Estéril,Frasco por 10 ml,Solución Oftálmica Estéril Frasco por 10 ml
MUXIN,Rebamipida 2%,Suspensión Oftálmica Estéril,Frasco por 5 ml,Suspensión Oftálmica Estéril Frasco por 5 ml
NEAGEL,"Ganciclovir 0,15%",Gel Oftálmico Estéril,Pomo por 5 gramos,Gel Oftálmico Estéril Pomo por 5 gramos
OPTILAC,"Condroitín Sulfato 3% + Aprotinina 1,68 UI",Solución Oftálmica Estéril,Frasco por 10 ml,Solución Oftálmica Estéril Frasco por 10 ml
POLEX susp.,Ciprofloxacina 3 mg  + Dexametasona 1 mg,Suspensión Oftálmica Estéril,Frasco por 5 ml,Suspensión Oftálmica Estéril Frasco por 5 ml
POLEX ung.,Ciprofloxacina 3 mg  + Dexametasona 1 mg,Ungüento Oftálmico Estéril,"Pomo por 3,5 gramos","Ungüento Oftálmico Estéril Pomo por 3,5 gramos"
PRESS OUT T,"Dorzolamida 2% + Timolol 0,5%",Solución Oftálmica Estéril,Frasco por 5 ml,Solución Oftálmica Estéril Frasco por 5 ml
SEDESTEROL,"Dexametasona 21 sodio fostato 0,1%",Solución Oftálmica Estéril,Frasco por 5 ml,Solución Oftálmica Estéril Frasco por 5 ml
TALOF,"Loteprednol Etabonato 0,2%",Suspensión Oftálmica Estéril,Frasco por  5 ml,Suspensión Oftálmica Estéril Frasco por  5 ml
"TIMALERG 2,5 ML","Olopatadina 0,2%",Solución Oftálmica Estéril,"Frasco por 2,5 ml","Solución Oftálmica Estéril Frasco por 2,5 ml"
VISAG,Azitromicina 1%,Solución Oftálmica Estéril,"Frasco por 2,5 ml","Solución Oftálmica Estéril Frasco por 2,5 ml"
,,,,
UNIFRESH MULTIPROPÓSITO x 120 ml,Poloxámero 407,Solución Estéril,Frasco x 120 ml,Solución Estéril Frasco x 120 ml
UNIFRESH MULTIPROPÓSITO x 240 ml,Poloxámero 407,Solución Estéril,Frasco x 240 ml,Solución Estéril Frasco x 240 ml
UNIFRESH MULTIPROPÓSITO x 360 ml,Poloxámero 407,Solución Estéril,Frasco x 360 ml,Solución Estéril Frasco x 360 ml
UNIFRESH LÁGRIMA ARTIFICIAL x 15 ml,"Carboximetilcelulosa 0,6%",Solución Estéril,Frasco x 15 ml,Solución Estéril Frasco x 15 ml
UNIFRESH LUBRICANTE x 15 ml,"Hialuronato de Sodio 0,15%",Solución Oftálmica Estéril,Frasco x 15 ml,Solución Oftálmica Estéril Frasco x 15 ml
UNIFRESH SOLUCIÓN SALINA x 360 ml,Cloruro de sodio,Solución Oftálmica Estéril,Frasco x 360 ml,Solución Oftálmica Estéril Frasco x 360 ml
UNIFRESH SPRAY LIMPIADOR DE ANTEOJOS x 35 ml,Spray limpiador de anteojos,Solución,Frasco x 35 ml,Solución  Frasco x 35 ml
"56854Epinastina HCL 0,05%4708701",,,,Solución Oftálmica Estéril Frasco por  5 ml52151
"56803Oximetazolina 0,025%4747601",,,,Solución Oftálmica Estéril Frasco por 10 ml54279
"43780Ketotifeno 0,05%4764401",,,,Solución Oftálmica Estéril Frasco por 10 ml47788
"56123Brimonidina 0,2% + Timolol 0,5%4738101",,,,Solución Oftálmica Estéril Frasco por 5 ml55926
"57681Azelastina HCL 0,05%4774901",,,,Solución Oftálmica Estéril Frasco por 6 ml48317
"53268Ciclosporina 0,1%4710801",,,,Solución Oftálmica Estéril Frasco por  5 ml56693
"43766Carbomer 0,2%4728901",,,,Gel Oftálmico Estéril Pomo por 10 gramos55335
"56029HPMC 0,3%4786201",,,,Solución Oftálmica Estéril Frasco por 20 ml47650
56029Acetazolamida 250 mg4737001,,,,Comprimidos Ranurados Envase por 50 com. ranurados45161
"48613Bromfenac 0,09%4780801",,,,Solución Oftálmica Estéril Frasco por 5 ml55554
"42340Moxifloxacina 0,5%4758001",,,,Solución Oftálmica Estéril Frasco por 5 ml55434
"48630Travoprost 0,004%4728101",,,,Solución Oftálmica Estéril Frasco por 3 ml50663
"56572Latanoprost 0,005%4718601",,,,"Solución Oftálmica Estéril Frasco por 2,5 ml48467"
"54394Latanoprost 0,005% +Timolol 0,5%4776101",,,,"Solución Oftálmica Estéril Frasco por 2,5 ml51765"
Carteolol 2%4776102,,,,Solución Oftálmica Estéril Frasco por 5 ml42976
"2174-1Loteprednol 0,5%4774001",,,,Suspensión Oftálmica Estéril Frasco por 5 ml56854
,,,,Suspensión Oftálmica Estéril Frasco por 5 ml56803
