Línea,descripcion,presentacion
FE  DIV.GENERAL,TANVIMIL E 400 CAPS X 30,
FE  DIV.GENERAL,TANVIMIL E 400 CAPS X 60,
FE  DIV.GENERAL,TANVIMIL EB6A CAPS X 100,
FE  DIV.GENERAL,TANVIMIL EB6A CAPS X 30,
FE  DIV.GENERAL,TANVIMIL EB6A CAPS X 60,
FE  DIV.GENERAL,TANVIMIL FOLICO 1 MG COMP X 30,
FE  DIV.GENERAL,TANVIMIL FOLICO 1 MG COMP X 60,
FE  DIV.GENERAL,TANVIMIL FOLICO 10 MG COMP X30,
FE  DIV.GENERAL,TANVIMIL FOLICO 10 MG COMP X60,
FE  DIV.GENERAL,TANVIMIL FOLICO 5 MG COMP X 30,
FE  DIV.GENERAL,TANVIMIL FOLICO 5 MG COMP X 60,
FE  DIV.GENERAL,TANVIMIL FOLICO GOTAS X 10 ML,
FE  DIV.GENERAL,TANVIMIL GEL LUB GENITAL X 20,
FE  DIV.GENERAL,TANVIMIL GEL LUB GENITAL X 60,
FE  DIV.GENERAL,TANVIMIL GINSENG CAPS X 30,
FE  DIV.GENERAL,TANVIMIL GINSENG CAPS X 60,
FE  DIV.GENERAL,TANVIMIL ISOFLAVONAS DUO COMP X 30,
FE  DIV.GENERAL,TANVIMIL ISOFLAVONAS DUO COMP X 60,
FE  DIV.GENERAL,TANVIMIL K COMP X 10,
FE  DIV.GENERAL,TANVIMIL M CAPS X 30,
FE  DIV.GENERAL,TANVIMIL M CAPS X 60,
FE  DIV.GENERAL,TANVIMIL PLUS CAPS X 30,
FE  DIV.GENERAL,TANVIMIL PLUS CAPS X 60,
FE  DIV.GENERAL,TIOCTAN 600 MG X 30 COMP.,
FE  DIV.GENERAL,TRICOFIN 1 G COMP X 4,
FE  DIV.GENERAL,TRICOFIN 1 G COMP X 8,
FE  DIV.GENERAL,TRICOFIN 500 COMP X 20,
FE  DIV.GENERAL,TRICOFIN 500 OVULOS X 8,
FE  DIV.GENERAL,TUERIS X 24 CAPS,
FE  DIV.GENERAL,TUERIS X 48 CAPS,
FE  DIV.GENERAL,VAGICURAL PLUS OVULOS X 12,
FE  DIV.GENERAL,VAGICURAL PLUS OVULOS X 6,
CARDIOMETABOLISMO,"MANTIXA 2,5 MG X 30 COMP REC",
CARDIOMETABOLISMO,"MANTIXA 2,5 MG X 60 COMP REC",
CARDIOMETABOLISMO,MANTIXA 5 MG X 30 COMP REC,
CARDIOMETABOLISMO,MANTIXA 5 MG X 60 COMP REC,
BAYER -Cardiometabolismo,ASPIRINA PREVENT 100 LAQ X 20(*),
BAYER -Cardiometabolismo,ASPIRINA PREVENT 100 LAQ X 50 (*),
BAYER -Cardiometabolismo,FIRIALTA 10 mg comp x 28(*),
BAYER -Cardiometabolismo,FIRIALTA 20 mg comp x 28(*),
BAYER -Gineco,MIRANOVA GRAGEAS X 21 (*),
BAYER -Gineco,QLAIRA COMP.REC.X 28 (*),
BAYER -Gineco,YAZ COMP.REC.X 28 (*),
BAYER -Gineco,YASMIN COMP.REC.X 28 (*),
BAYER -Gineco,YASMINELLE COMP.REC.X 28 (*),
BAYER -Gineco,DIANE 35 GRAGEAS X 21 (*),
BAYER -Gineco,TESTOVIRON DEP 250MG AMP 1X1 ML(*),
,7791763002105FE  DIV.GENERAL59782,
,7791763001306FE  DIV.GENERAL59782,
,7791763001313FE  DIV.GENERAL47193,
,7791763001399FE  DIV.GENERAL55724,
,7791763001405FE  DIV.GENERAL53902,
,7791763002198FE  DIV.GENERAL49712,
,7791763002259FE  DIV.GENERAL52893,
,7791763001412FE  DIV.GENERAL43101,
,7791763337740FE  DIV.GENERAL23837,
,7791763001504FE  DIV.GENERAL,
,7791763001511FE  DIV.GENERAL,
