"PUBLICADO/
NO PUBLICADO",U N,LINEA,EAN,COD. DISPRO,COD. ELEA,COD. CID LATINA,REGISTRO ALFABETA,CODIGO KAIROS,PAMI,CERTIF NRO,descripcion,presentacion
PUBLICADO,BIO,Biotecnología,7796285050122,14957,25012,3077001,28830,,,47877,NEVIRAPINA ELEA,Env. x 60 comprimidos
PUBLICADO,BIO,Biotecnología,7796285274535,16684,27453,,52152,,,57279,NOVEX 100 MG.,Envase x 2 viales
PUBLICADO,BIO,Biotecnología,7796285275464,16685,27546,,52153,,,57279,NOVEX 500 MG.,Envase x 1 vial
PUBLICADO,BIO,Biotecnología,7796285289188,21285,28918,,60471,,,,PERCICLIB,75 MG CAPS. X 21
PUBLICADO,BIO,Biotecnología,7796285289164,21287,28916,,60472,,,,PERCICLIB,100 MG CÁPS. X 21
PUBLICADO,BIO,Biotecnología,7796285289171,21286,28917,,60473,,,,PERCICLIB,125 MG CÁPS. X 21
PUBLICADO,BIO,Biotecnología,7796285287344,21860,28734,,59659,,,,REGITRAT ,100 MG X 28 comp.
PUBLICADO,BIO,Biotecnología,7796285291648,21808,29164,,61587,,,,REGITRAT ,400 MG X 28 comp.
PUBLICADO,BIO,Biotecnología,7796285286101,21877,28610,,59492,,,,REGITRAT ,500 mg x 28 comp.
PUBLICADO,BIO,Biotecnología,7796285288945,21161,28894,,61034,,,,REGLICAT,REGLICAT 30 MG COMP X 28
PUBLICADO,BIO,Biotecnología,7796285288952,21160,28895,,61033,,,,REGLICAT,REGLICAT 40 MG COMP X 28
PUBLICADO,BIO,Biotecnología,7796285277314,17136,27731,4012601,52154,,,57625,REMIVIR,Comprimidos recubiertos x 30
PUBLICADO,BIO,Biotecnología,7796285288846,20284,28884,,59992,,,,RICENTAN,10 mg x 30 comp recubiertos
PUBLICADO,BIO,Biotecnología,7796285286170,19740,28617,9009923,58313,,,662739-1,ROFEK ,5 MG X 60 COMP
PUBLICADO,BIO,Biotecnología,7796285287375,20091,28737,9010692,58956,,,,ROFEK XR,11 MG COMP X 30
PUBLICADO,BIO,Biotecnología,7796285289232,21288,28923,,61200,,,,SERILON,SERILON 15MG X28 COMP
PUBLICADO,BIO,Biotecnología,7796285289249,21289,28924,,61201,,,,SERILON,SERILON 30MG X 28 COMP
PUBLICADO,BIO,Biotecnología,7796285279905,18098,27990,4094901,53409,,,58277,SIMPLIR COMP.,Envase x 30 comprimidos rec.
PUBLICADO,BIO,Biotecnología,7796285287184,19733,28718,,58518,,,,SURPREX,"12,5mg x 28 cápsulas"
PUBLICADO,BIO,Biotecnología,7796285287146,19734,28714,,58519,,,,SURPREX,25mg x 28 cápsulas
PUBLICADO,BIO,Biotecnología,7796285287177,19735,28717,,58520,,,,SURPREX,50mg x 28 cápsulas
PUBLICADO,BIO,Biotecnología,7796285054489,14504,25448,3819201,47363,,,56453,TENOFOVIR 300MG,Env. x 30 comprimidos
PUBLICADO,BIO,Biotecnología,7796285284336,19375,28433,,56904,,,656971-1,TERFUN,20-8.19 MG COMP X 20
PUBLICADO,BIO,Biotecnología,7796285284343,19376,28434,,56905,,,656971-2,TERFUN,20-8.19 MG COMP X 60
PUBLICADO,BIO,Biotecnología,7796285110109,19364,11010,,52155,,,57031,VAXIRA INYECTABLE,Envase x 1 frasco ampolla
PUBLICADO,BIO,Biotecnología,7796285290948,21863,29094,,61898,,,,VISEDGE,150MG X28 CAPS
PUBLICADO,BIO,Biotecnología,7796285283483,19172,28348,,56221,,,58938,ZALUTEX 40 MG.,Envase x 120 cápsulas
PUBLICADO,BIO,Biotecnología,7796285291655,21872,29165,,62171,,,,ZALUTEX 80 MG,COMP X 56
PUBLICADO,P.C.,Neurociencias,7796285053147,12459,25314,2001603,40561,189093,56240020,53652,8 HORAS 2 MG.,Comprimidos x 30
PUBLICADO,P.C.,Neurociencias,7796285053154,12460,25315,2001604,40562,189094,56241310,53652,8 HORAS 3 MG.,Comprimidos x 30
PUBLICADO,P.C.,Enf. Huérfanas,7796285272616,17145,27261,3853102,47976,228262,61497110,56605,ABARAX 100 MG.,Comprimidos x 100
PUBLICADO,P.C.,Enf. Huérfanas,7796285272623,17338,27262,3853101,47975,228261,,56605,ABARAX 50 MG.,Comprimidos x 100
PUBLICADO,OTC,OTC,7796285290016,21162,29001,,60487,,,,ADERMICINA,ADERMICINA JAB LIMPIEZA FAC PACK FARM
PUBLICADO,OTC,OTC,7796285294335,21682,29433,,61475,,,,ADERMICINA,ADERMICINA JAB LIMPIEZA FAC PACK X 6
PUBLICADO,OTC,OTX,7796285286644,19593,28664,2027801,6741,561,,,ADERMICINA,Crema x 30 gr
PUBLICADO,OTC,OTC,7796285295066,21687,29506,,61368,,,,KIT ADERMICINA FACIAL ,KIT REGALO ADERMICINA FACIAL
PUBLICADO,OTC,OTC,7796285287856,19796,28785,,58013,82614,,,ADERMICINA A,A CREMA X 30 GR 2X1
PUBLICADO,OTC,OTC,7796285286446,19488,28644,2027901,18444,82611,,,ADERMICINA A,CREMA X 30 GR
PUBLICADO,OTC,OTC,7796285287160,19894,28716,9011000,59201,,,,ADERMICINA A ,CREMA X 60 GR
PUBLICADO,OTC,OTC,7796285289126,21096,28912,,60712,,,,ADERMICINA AE,emuls.x 400 ml
PUBLICADO,OTC,OTC,7796285289119,21094,28911,,60711,,,,ADERMICINA AE,cr.x 200 ml
PUBLICADO,OTC,OTC,7796285290009,21163,29000,,60347,,,,ADERMICINA ANTI - ACNE,PACK X 2
PUBLICADO,OTC,OTC,7796285288891,20995,28889,,60150,,,,ADERMICINA ANTI - ACNE,GEL X 30 GR
PUBLICADO,OTC,OTC,7796285288983,21007,28898,,60345,,,,ADERMICINA FACIAL ,ANTI-ARRUGA CR 90 G
PUBLICADO,OTC,OTC,7796285288990,21008,28899,,60346,,,,ADERMICINA FACIAL ,UNIFICADORA CR 90 G
PUBLICADO,OTC,OTC,7796285289003,21009,28900,,60344,,,,ADERMICINA FACIAL ,HUMECTANTE CR 90 G
PUBLICADO,OTC,OTC,7796285295103,21958,29510,,,,,,ADERMICINA FACIAL ,ADERMICINA AGUA MICELAR X400 ML
PUBLICADO,P.C.,Antiinfectivos,7791848250155,18667,25015,2035102,30307,137442,50083410,45814,AEROXINA,250 MG. SUSP. FRASCO x 60 ml.
PUBLICADO,P.C.,Antiinfectivos,7791848250025,18668,25002,2035103,28045,128281,42081010,45814,AEROXINA,500 MG. COMP. x 16
PUBLICADO,P.C.,Antiinfectivos,7791848250049,18669,25004,2035204,28047,128292,48736520,45814,AEROXINA UD,500 MG. X 10 COMP.REC.LIB.PROGR.
PUBLICADO,P.C.,Antiinfectivos,7791848250032,18670,25003,2035203,28046,128291,48736510,45814,AEROXINA UD,500 MG. X 5 COMP.REC.LIB.PROGR.
PUBLICADO,P.C.,Antiinfectivos,7791848250636,18671,25063,2035202,31701,128294,48736540,45814,AEROXINA UD,500 MG. X 8 COMP.REC.LIB.PROGR.
PUBLICADO,OTC,OTC,7798033000045,13709,12105,2038110,17732,87283,,37212,AGAROL,Chicle Fruta.  Blister por  12
PUBLICADO,OTC,OTC,7792690210304,13655,21030,2038214,16411,8823,,00003,AGAROL,Ciruela. Frasco por 180 ml
PUBLICADO,OTC,OTC,7792690206451,6335,20645,2038211,16772,8817,,00003,AGAROL,Frutilla. Frasco por 180 ml
PUBLICADO,OTC,OTC,7792690206468,6336,20646,2038212,16773,8839,,00003,AGAROL,Frutilla. Frasco por 390 ml
PUBLICADO,OTC,OTC,7792690206406,6338,20640,2038201,16769,8813,,00003,AGAROL,Vainilla.  Frasco por 180 ml
PUBLICADO,OTC,OTC,7792690201067,6339,20106,2038207,16770,8841,,00003,AGAROL,Vainilla.  Frasco por 390 ml
PUBLICADO,OTC,OTC,7796285120214,17781,12021,2038405,52724,137502,,37212,AGAROL GELCAPS,Caps blandas. Estuche por 10
PUBLICADO,OTC,OTC,7796285120191,17782,12019,2038401,52943,137505,,37212,AGAROL GELCAPS,Caps blandas. Estuche por 20
PUBLICADO,OTC,OTC,7796285281403,19362,28140,9008370,57064,282291,,,AGAROL PUR,12 SOBRES X 17G
PUBLICADO,OTC,OTC,7796285281397,19361,28139,9008371,57065,282292,,,AGAROL PUR,5 SOBRES X 17G
PUBLICADO,P.C.,Gastro,7791848259011,1157,28173,2039001,1563,901,2334111,35133,AGIOLAX,100 GRS.                    
PUBLICADO,P.C.,Gastro,7791848259028,1158,28174,2039002,1564,902,2334112,35133,AGIOLAX,250 GRS.                    
PUBLICADO,OTC,OTC,7796285271749,14816,27174,3862301,48191,229241,,55462,ALERNIX 24 RAPIDA ACCION,Cápsulas blandas x 10
PUBLICADO,OTC,OTC,7796285278748,17808,27874,3862303,52754,229242,,55462,ALERNIX 24 RAPIDA ACCION,Cápsulas blandas x 20
PUBLICADO,OTC,OTC,7796285278755,17806,27875,3862302,52756,229243,,55462,ALERNIX 24 RAPIDA ACCION,Expendedor 10 blister x5 Cáps.
PUBLICADO,OTC,OTC,7796285277154,19478,27715,9009005,57435,,,,ALERNIX SPRAY,Spray Nasal x 10 ml.
PUBLICADO,P.C.,Vías Respiratorias,7796285279349,19418,27934,9008134,56917,281452,,509324-3,ALERNIX SPRAY NASAL CORT,120 DOSIS
PUBLICADO,P.C.,Vías Respiratorias,7796285277826,19417,27782,9008133,56915,281451,,509324-4,ALERNIX SPRAY NASAL CORT,60 DOSIS
PUBLICADO,P.C.,Vías Respiratorias,7796285288921,21636,28892,,61275,,,,ALVETIDE,92 - 22MCG X30 DOSIS
PUBLICADO,P.C.,Vías Respiratorias,7796285288914,21635,28891,,61276,,,,ALVETIDE,184 - 22MCG X30 DOSIS
PUBLICADO,P.C.,Vías Respiratorias,7791848271839,18672,27183,2076003,47539,60213,37595820,43096,AMBRIL JARABE,FRASCO x 120 ML.
PUBLICADO,P.C.,Fertilidad y Embarazo,7796285270254,14281,27025,2104701,3224,2853,6008810,14685,ANEMIDOX AMPOLLAS,Envase x 3 pares
PUBLICADO,P.C.,Fertilidad y Embarazo,7796285270261,14282,27026,2104702,5304,2851,6008820,14685,ANEMIDOX AMPOLLAS,Envase x 6 pares
PUBLICADO,P.C.,Fertilidad y Embarazo,7796285271848,14502,27184,2104803,47356,2863,24578930,35392,ANEMIDOX FERRUM,Cápsulas x 30
PUBLICADO,P.C.,Fertilidad y Embarazo,7796285271855,14503,27185,2104804,47357,2864,24578940,35392,ANEMIDOX FERRUM,Cápsulas x 60
PUBLICADO,P.C.,Fertilidad y Embarazo,7796285270339,14289,27033,3630703,44334,191583,57875530,54666,ANEMIDOX ULTRA,Cápsulas x 30
PUBLICADO,P.C.,Fertilidad y Embarazo,7796285270346,14290,27034,3630704,44335,191584,57875540,54666,ANEMIDOX ULTRA,Cápsulas x 60
PUBLICADO,OTC,OTX,7792690010522,6292,21052,2117701,17709,78701,40443410,44762,ANUSOL DUO,Crema. Pomo por 10 gr
PUBLICADO,OTC,OTX,7792690010751,6291,21075,2117801,20880,94161,43165110,46447,ANUSOL DUO S,Supositorios.  Estuche por 12
PUBLICADO,P.C.,Neurociencias,7796285052782,11650,25278,2124301,38590,179131,,52178,ARAMIX 10 MG. (*),Comprimidos x 15
PUBLICADO,P.C.,Neurociencias,7796285052799,11651,25279,2124302,38591,179132,54392620,52178,ARAMIX 10 MG. (*),Comprimidos x 30
PUBLICADO,P.C.,Neurociencias,7796285052812,11653,25281,2124304,38593,179134,54391320,52178,ARAMIX 20 MG. (*),Comprimidos x 30
PUBLICADO,P.C.,Osteo,7796285295059,21864,29505,,62049,,,,ASUMLEA,60 MG-ML JER PRELL X 1 ML
PUBLICADO,P.C.,Osteo,7791848272690,18676,27269,3839601,47730,226681,58920010,55201,ARTRICARE,50 MG. CÁPSULAS x 30
PUBLICADO,P.C.,Visual,7796285254940,13679,25494,2131101,38893,180581,55008410,52873,ARVO,"SOL. OFT. x 2,5 ML"
PUBLICADO,P.C.,Osteo,7796285282462,19667,28246,9008789,57280,283231,,658471-3,AUDAX, Cápsulas x 30
PUBLICADO,OTC,OTC,7796285051792,10891,25179,2159501,36587,167951,,50160,AZIATOP 20 MG.,Cápsulas x 14
PUBLICADO,OTC,OTC,7796285053642,12821,25364,2159503,41789,167953,,50160,AZIATOP 20 MG.,Cápsulas x 28
PUBLICADO,OTC,OTC,7796285287481,19928,28748,9010690,58871,,,,AZIATOP REFLUX,20 mg comp. x 14
PUBLICADO,P.C.,Antiinfectivos,7796285275358,16074,27535,2182815,49698,52210,99496980,8753,BENADRYL,Cápsulas.  Estuche por 30
PUBLICADO,P.C.,Antiinfectivos,7792690012144,6296,21214,2182801,23319,5225,7864320,8753,BENADRYL,Inyectable.  1 Ampolla por 5. ml
PUBLICADO,P.C.,Antiinfectivos,7796285275266,16073,27526,2182814,49749,241161,7855240,8753,BENADRYL,Jarabe.  Frasco por 240 ml
PUBLICADO,OTC,OTC,7796285001124,11744,20112,2182901,38721,179681,,52748,BENADRYL 24,Comprimidos x 10
PUBLICADO,OTC,OTC,7796285053109,12235,25310,2183101,38723,179691,,52748,BENADRYL 24 FLASH,Comprimidos x 10
PUBLICADO,P.C.,Antiinfectivos,7796285275242,16076,27524,2183304,49850,5232,7890840,8753,BENADRYL ANTITUSIVO,Jarabe.  Frasco por 240 ml
PUBLICADO,P.C.,Antiinfectivos,7796285276119,16516,27611,2183604,50442,5244,99504420,37371,BENADRYL DM COMPUESTO,Jarabe.  Frasco por 240 ml
PUBLICADO,P.C.,Visual,7796285277130,17097,27713,2188104,51088,249861,63236810,57562,BERLOFEN,SOL. OFT. x 5 ML
PUBLICADO,P.C.,Cardio,7796285280932,18941,28093,9005137,55030,271041,648271-1,58478,BERTEL 40 MG.,Comprimidos x 28
PUBLICADO,P.C.,Cardio,7796285280949,18942,28094,9005151,55031,271042,648284-1,58478,BERTEL 80 MG.,Comprimidos x 28
PUBLICADO,P.C.,Cardio,7796285280956,18980,28095,9005503,55297,272281,651326-1,58478,"BERTEL D 40/12,5 MG",Comprimidos x 28
PUBLICADO,P.C.,Cardio,7796285280963,18979,28096,9005504,55298,272282,651300-1,58478,"BERTEL D 80/12,5 MG",Comprimidos x 28
PUBLICADO,OTC,OTC,7796285286453,19493,28645,2217203,13589,55132,,,BIO-GRIP,PLUS COMPRIMIDOS X 16
PUBLICADO,OTC,OTC,7796285287931,20997,28793,,13588,,,,BIO-GRIP,PLUS COMPRIMIDOS X 8
PUBLICADO,OTC,OTX,7796285286460,19513,28646,2239802,4104,6671,,,BRONQUISEDAN,JARABE ADULTOS x 150ML
PUBLICADO,OTC,OTC,7796285286477,19489,28647,2240101,41629,194791,,,BRONQUISEDAN,JARABE NIÑOS x 120ML
PUBLICADO,OTC,OTC,7796285286484,19494,28648,2239901,39835,185701,,,BRONQUISEDAN,MAX 200 MG X 150 ML
PUBLICADO,P.C.,Cardio,7791848202062,4892,28133,2421901,30097,11154,0643112,24636,C.V.P.  DUO,COMP. REC. X 10            
PUBLICADO,P.C.,Cardio,7791848202048,7830,28132,2421906,8016,11151,0643113,24636,C.V.P.  DUO,COMP. REC. X 25           
PUBLICADO,P.C.,Cardio,7791848202017,7712,28131,2421903,6454,11152,0643111,24636,C.V.P.  DUO,COMP. REC. X 50           
PUBLICADO,OTC,OTC,7796285291273,21173,29127,,60401,,,,CALADRYL,CALADRYL LOCION X110 PACK PROMOCIONAL
PUBLICADO,OTC,OTC,7796285274092,15782,27409,2259017,49056,71311,,14100,CALADRYL,Crema.  Pomo por 70 gr
PUBLICADO,OTC,OTC,7796285278663,17688,27866,2259020,53212,71312,,14100,CALADRYL,Loción.  Frasco por 100 ml
PUBLICADO,OTC,OTC,7796285274108,15785,27410,2259018,49057,113369,,14100,CALADRYL  INCOLORO,Crema.  Pomo por 70 gr
PUBLICADO,OTC,OTC,7796285278670,17685,27867,2259021,53213,1133611,,44190,CALADRYL  INCOLORO,Loción.  Frasco por 100 ml
PUBLICADO,OTC,OTC,7796285275402,16378,27540,2259019,50559,1133610,,44190,CALADRYL  INCOLORO,Spray x 90 ml.
PUBLICADO,OTC,OTC,7796285288938,21485,28893,,61141,,,,CALADRYL CORP,CALADRYL CORP DESHIDRATADA EMUL 400ML
PUBLICADO,OTC,OTC,7796285288907,21487,28890,,61142,,,,CALADRYL CORP,CALADRYL CORP DIABETES EMUL 400ML
PUBLICADO,OTC,OTC,7796285279493,21486,27949,,61140,,,,CALADRYL CORP,CALADRYL CORP SENSIBLE EMUL 400ML
PUBLICADO,OTC,OTC,7796285295561,21961,29556,,,,,,CALADRYL CORP,CALADRYL CORP SENSIBLE EMUL 200 ML
PUBLICADO,OTC,OTC,7796285295608,21960,29560,,,,,,CALADRYL CORP,CALADRYL CORP DESHIDRATADA EMUL 200 ML
PUBLICADO,P.C.,Anticoncepcion,7796285052645,11567,25264,2288801,38178,176701,52820610,51523,CARMIN,Comprimidos recubiertos x 28
PUBLICADO,P.C.,Neurociencias,7796285284527,19365,28452,9009425,57906,281784,,,"CARPLEX 1,5 MG",cápsulas x 10
PUBLICADO,P.C.,Neurociencias,7796285283360,19367,28336,9008165,56976,281781,657071-1,59005,"CARPLEX 1,5 MG",cápsulas x 30
PUBLICADO,P.C.,Neurociencias,7796285283377,19368,28337,9008166,56977,281782,657084-01,59005,CARPLEX 3 MG,cápsulas x 30
PUBLICADO,P.C.,Neurociencias,7796285283384,19366,28338,9008167,56978,281783,657100-1,59005,CARPLEX 6 MG,cápsulas x 30
PUBLICADO,OTC,OTC,7796285279844,18122,27984,9001757,53737,264241,,21108721,CEDRIC BALSAMICO CONCENT.,Fco. x 100 ml.
PUBLICADO,OTC,OTC,7796285275273,16075,27527,2300803,49750,217331,99497500,52251,CEDRIC JARABE,Fco. x 220 ml.
PUBLICADO,OTC,OTC,7796285274856,17095,27485,2300903,42102,197163,,54471,CEDRIC POCKET,Envase x 9 caramelos
PUBLICADO,OTC,OTC,7796285283087,19498,28308,9008790,57281,283241,,,CEDRIMUC,Sobres x 10
PUBLICADO,OTC,OTC,7796285275365,16095,27536,3936101,49753,241171,,21-104094,CHIACAPS PREMIUM,Cápsulas x 30
PUBLICADO,OTC,OTC,7796285275372,16093,27537,3936102,49754,241172,,21-104094,CHIACAPS PREMIUM,Cápsulas x 60
PUBLICADO,P.C.,Cardio,7796285271237,15897,27123,2339003,35044,159032,52413110,51315,CILOSTAL 100 MG,Comprimidos x 30
PUBLICADO,P.C.,Cardio,7796285271244,15898,27124,2339004,37145,159034,52413120,51315,CILOSTAL 100 MG,Comprimidos x 60
PUBLICADO,P.C.,Cardio,7796285271251,15896,27125,2339001,35043,159031,52412410,51315,CILOSTAL 50 MG,Comprimidos x 30
PUBLICADO,P.C.,Antiinfectivos,7791848216007,14062,28080,2355501,33246,59956,3840903,48651,CLAVULOX,1 GR. X 14 COMP. REC.            
PUBLICADO,P.C.,Antiinfectivos,7791848216021,14064,28081,2355504,23300,59955,3691671,48162,CLAVULOX,500 MG X 14 COMP. REC.          
PUBLICADO,P.C.,Antiinfectivos,7791848216014,14063,28082,3866401,21185,95061,4261492,46142,CLAVULOX,DUO  X 70 ML  SUSP. ORAL
PUBLICADO,P.C.,Cardio,7796285270612,14294,27061,2389004,27359,125854,34184210,41046,CONCOR 10 MG,Comprimidos recubiertos x 30.
PUBLICADO,P.C.,Cardio,7796285270629,14295,27062,2389002,27357,125852,48069010,41046,CONCOR 2.5 MG,Comprimidos recubiertos x 30.
PUBLICADO,P.C.,Cardio,7796285270636,14296,27063,2389003,27358,125853,34183410,41046,CONCOR 5 MG,Comprimidos recubiertos x 30.
PUBLICADO,P.C.,Cardio,7796285270650,14297,27065,3708302,44669,207062,58249760,54834,CONCOR PLUS 10 MG,Comprimidos x 30
PUBLICADO,P.C.,Cardio,7796285270643,14298,27064,3708301,44668,207061,58248460,54834,CONCOR PLUS 5 MG,Comprimidos x 30
PUBLICADO,OTC,OTC,7796285284503,19251,28450,9007502,56491,278541,,,CONTRACTIL,Comprimidos x 30
PUBLICADO,OTC,OTC,7796285289713,20250,28971,,59714,,,,CONTRACTIL,CONTRACTIL EXTRA PACK2EN1 CAPS X60
PUBLICADO,OTC,OTC,7796285290153,20994,29015,,60226,,,,CONTRACTIL,CONTRACTIL X 60 EXTRA PACK
PUBLICADO,OTC,OTC,7796285281410,19809,28141,9010306,58515,,,,CONTRACTIL F,Crema x 20gr
PUBLICADO,P.C.,Cardio,7791848271907,18656,27190,2392503,47540,10293,27754230,36583,CONTROL K,600 MG CÁPSULAS x 30
PUBLICADO,P.C.,Cardio,7796285271916,18657,27191,2392504,47541,10294,27754240,36583,CONTROL K,600 MG CÁPSULAS x 60
PUBLICADO,P.C.,Cardio,7791848278784,18664,27878,3672606,52699,204507,56253930,53651,COROSAN,160 MG COMP. x 30
PUBLICADO,P.C.,Cardio,7791848278791,18665,27879,3672607,52700,204508,56254230,53651,COROSAN,320 MG COMP. x 30
PUBLICADO,P.C.,Cardio,7791848278777,18666,27877,3672608,52698,204506,56252630,53651,COROSAN,80 MG COMP. x 30
PUBLICADO,P.C.,Cardio,7791848280916,19184,28091,9006878,56044,276022,622468-1,53651,"COROSAN D 160 mg./12,5 mg.",Comprimidos x 30
PUBLICADO,P.C.,Cardio,7791848280909,19183,28090,9006877,56043,276021,622455-1,53651,"COROSAN D 80 mg./12,5 mg.",Comprimidos x 30
PUBLICADO,P.C.,Cardio,7796285053468,12662,25346,2413305,41191,183595,47803330,48775,CRISPLUS 120 MG.,Cápsulas x 30
PUBLICADO,P.C.,Cardio,7796285053475,12663,25347,2413306,41192,183596,47803340,48775,CRISPLUS 120 MG.,Cápsulas x 60.
PUBLICADO,P.C.,Cardio,7796285053482,12660,25348,2413303,41193,183593,57085510,48775,CRISPLUS 60 MG.,Cápsulas x 30
