Cert.,Código,descripcion,Presentación
34.950,8050045,REGULANE x 20 comp.,
34.950,8050046,REGULANE x 30 comp.,
34.950,8050136,REGULANE CB x 10 Cáps Bl.,
34.950,8050137,REGULANE CB x 20 Cáps Bl.,
34.950,8050138,REGULANE CB x 30 Cáps Bl.,
34.950,8050044,REGULANE Solución x 60 ml.,
56.296,8050387,SELKET 500 500 Mg. x 10 Comp. Rec.,
56.296,8050388,SELKET 500 500 Mg. x 14 Comp. Rec.,
56.296,8050389,SELKET 500 500 Mg. x 20 Comp. Rec.,
32.304,8050054,SOLUSTRES x 16 comp.,
57.804,8050380,TADAL 20 20 Mg. Comp. Rec. X 2,
57.804,8050381,TADAL 20 20 Mg. Comp. Rec. X 4,
57.804,8050382,TADAL 20 20 Mg. Comp. Rec. X 8,
57.804,8050378,TADAL 5 5 Mg. Comp. Rec. X 28,
52.688,8050050,"TANSILOPROST 0,4 mg.x 30 cap.",
52.688,8050053,"TANSILOPROST 0,4 mg.x 60 cap.",
56.939,8050154,TANSILOPROST DUOx 30 cap.lib.cont,
56.939,8050164,TANSILOPROST DUOx 60 cap.lib.cont,
52.688,8050168,TANSILOPROST RETARDx 30 comp.lib.pro,
52.688,8050169,TANSILOPROST RETARDx 60 comp.lib.pro,
58.832,8050412,TANSILOPROST SEC COMP REC X 30,
58.088,8050383,VAGRAN 120 120 Mg. x 10 Comp. Rec.,
58.088,8050384,VAGRAN 120 120 Mg. x 30 Comp. Rec.,
58.088,8050385,VAGRAN 180 180 Mg. X 10 Comp. Rec.,
57.145,8050402,XINA Comp. Lib. Modif. X 30,
,PSICOTROPICOS LISTA  IV,,
50.619,8050267,"INDUZEPAM 0,25 mg.x 30 comp.",
50.619,8050269,"INDUZEPAM 0,50 mg.x 30 comp.",
50.619,8050270,"INDUZEPAM 0,50 mg.x 50 comp.",
50.619,8050272,INDUZEPAM 2 mg.x 30 comp.,
50.619,8050273,INDUZEPAM 2 mg.x 50 comp.,
50.619,8050274,"INDUZEPAM 0,25%solución x 20 ml.",
33.009,8050024,PAUSAFREN T bls.x 40 comp.,
33.588,8050036,TENCILAN 10 mg.Fco.x 50 comp.,
33.588,8050034,TENCILAN 5  mg.Fco.x 50 comp.,
,VENTA LIBRE,,
38.776,8050134,SUPERMINOX 2% SOLUCION TOPICA X 90 ML.,
38.776,8050133,SUPERMINOX 5% SOLUCION TOPICA X 90 ML.,
,TRATAMIENTOS ESPECIALES,,
57.253,8050184,CRUZAL URO x 1 Fco. Vial x 50 ml.,
,LINEA ONCOLOGICA,,
58.268,8050403,ENORDEN 250 Mg. x 120 Comp.,
38.641,8071117,CALMADOR 50 MG. X100 AMP.,
38.641,8071033,CALMADOR 100 MG. X100 AMP.,
47.122,8059298,BIFORT M 50 FRU x 2 Disp. X 12,
38.791,8059153,LETONDAL ENV P/FCIA X 12,
34.950,8059136,REGULANE CB X 10 Disp. X 12,
