descripcion_proveedor,descripcion_match,similitud
zemplar 2 microgramo 30 capsulas,humira pediatrico vial x 2 x 08 mililitros,0.8782188
zemplar 2 microgramo 30 capsulas,rinvoq 30 miligramos complibprol x 30,0.87519264
boto x vial 100 unidad,venclexta 100 miligramos comprimidos x 120,0.8817909
boto x vial 100 unidad,synagis solucian 100 miligramos frasco ampolla x 1,0.87227756
boto x vial 100 unidad,synagis 100 miligramos lioffa x 1,0.86977017
boto x vial 200 unidad,zemplar 5 microgramo vial x 5 x 1 mililitros,0.7877243
boto x vial 200 unidad,humira pediatrico vial x 2 x 08 mililitros,0.7874716
boto x vial 200 unidad,survanta frasco ampolla x 8 mililitros,0.78478235
ozurde x 07 miligramos c 1,skyrizi 600 miligramos vial x 1,0.885024
ozurde x 07 miligramos c 1,epkinly 60 miligramos por mililitro solucion inyeccion x 1,0.8818665
ozurde x 07 miligramos c 1,epkinly 5 miligramos por mililitro solucion inyeccion x 1,0.880904
