descripcion_proveedor,descripcion_match,similitud
elefi  1 vial  2 mililitros,causalon 300 miligramos sup  2  1 gramos,0.8655037
elefi  1 vial  2 mililitros,mosar 1% pvopsusporal  60 mililitros,0.8397856
elefi  1 vial  2 mililitros,omate  40 miligramos jeringa prellenada  1,0.8387143
eleina 200 miligramos  14 comprimidos,mezine xr 150 miligramos comprimidos  14,0.87159103
eleina 200 miligramos  14 comprimidos,inastmol 200 miligramos comprimidos  20,0.871578
eleina 200 miligramos  14 comprimidos,mezine xr 75 miligramos comprimidos  14,0.8713749
eleina 300 miligramos  14 comprimidos,mezine xr 75 miligramos comprimidos  14,0.8725506
eleina 300 miligramos  14 comprimidos,mezine xr 150 miligramos comprimidos  14,0.8723882
eleina 300 miligramos  14 comprimidos,mezine xr 375 miligramos comprimidos  14,0.86812013
exobozan exobozan 20 miligramos  30 comprimidos,olane 20 miligramos comprimidos recubierto  30,0.94768775
exobozan exobozan 20 miligramos  30 comprimidos,olmec 20 miligramos comprimidos  30,0.94080025
exobozan exobozan 20 miligramos  30 comprimidos,idesole 30 miligramos comprimidos recubierto  20,0.9393785
exobozan exobozan 40 miligramos  30 comprimidos,olmec 40 miligramos comprimidos  30,0.93717754
exobozan exobozan 40 miligramos  30 comprimidos,kalter 40 miligramos comprimidos recubierto  30,0.935994
exobozan exobozan 40 miligramos  30 comprimidos,olane xr 125 miligramos comprimidos  30,0.8577185
exobozan exobozan 60 miligramos  30 comprimidos,fingras 60 miligramos capsulas  30,0.9382294
exobozan exobozan 60 miligramos  30 comprimidos,idesole 30 miligramos comprimidos recubierto  60,0.9346712
exobozan exobozan 60 miligramos  30 comprimidos,rabloc 20 miligramos comprimidos  60,0.8630843
fozvir 400 miligramos envase  28 comprimidos rec,mezine xr 75 miligramos comprimidos  28,0.8592291
fozvir 400 miligramos envase  28 comprimidos rec,palite  400 miligramos comprimidos  5,0.8589272
fozvir 400 miligramos envase  28 comprimidos rec,mezine xr 150 miligramos comprimidos  28,0.8574264
flunitram flunitram  14 miligramos comprimidos rec,mezine xr 375 miligramos comprimidos  14,0.8687489
flunitram flunitram  14 miligramos comprimidos rec,mezine xr 75 miligramos comprimidos  14,0.8682678
flunitram flunitram  14 miligramos comprimidos rec,mezine xr 150 miligramos comprimidos  14,0.8679757
gesnat 25 miligramos comprimidos  30,normital 25 miligramos comprimidos  30,0.98270047
gesnat 25 miligramos comprimidos  30,olane xr 25 miligramos comprimidos  30,0.97896856
gesnat 25 miligramos comprimidos  30,mosar 25 miligramos comprimidos recubierto  30,0.9774903
gesnat 50 miligramos comprimidos  30,dafe  50 miligramos compdispers  30,0.9709353
gesnat 50 miligramos comprimidos  30,acotral 10 miligramos comprimidos  30,0.88668245
gesnat 50 miligramos comprimidos  30,normital 100 miligramos comprimidos  30,0.8865062
gineva 10 miligramos comprimidos  30,dafe  10 miligramos comprimidos  30,0.98680747
gineva 10 miligramos comprimidos  30,acotral 10 miligramos comprimidos  30,0.9852487
gineva 10 miligramos comprimidos  30,loreme  antialergico 10 miligramos comprimidos  30,0.97040975
gineva 5 miligramos comprimidos  30,rabloc 5 miligramos comprimidos  30,0.98729384
gineva 5 miligramos comprimidos  30,dafe  5 miligramos compdispers  30,0.9618157
gineva 5 miligramos comprimidos  30,nefagrel 5 miligramos comprimidos  30,0.9480108
heberprotp envase  6 ampollas  0075 miligramos,doxtran b 12 inyeccion frasco ampolla  6,0.84521097
heberprotp envase  6 ampollas  0075 miligramos,aminofilin 200 miligramos inyectable  6,0.8439714
heberprotp envase  6 ampollas  0075 miligramos,impedil 250 miligramos inyectable  6  2 mililitros,0.82036793
ixomida 60 miligramos comprimidos rec  120,fingras 120 miligramos capsulas  60,0.92934024
ixomida 60 miligramos comprimidos rec  120,rabloc 20 miligramos comprimidos  60,0.87635875
ixomida 60 miligramos comprimidos rec  120,idesole ii 45 miligramos comprimidos  60,0.8760753
icelea 20025 miligramos comprimidos  30,normital 25 miligramos comprimidos  30,0.873729
icelea 20025 miligramos comprimidos  30,olane xr 25 miligramos comprimidos  30,0.8736489
icelea 20025 miligramos comprimidos  30,normital 100 miligramos comprimidos  30,0.8735573
inco  1 miligramos comprimidos  56,doxolbran 1 miligramos comprimidos  20,0.8720475
inco  1 miligramos comprimidos  56,vanticon comprimidos  56,0.8426026
inco  1 miligramos comprimidos  56,clavulo  1 gramos comprimidos  12,0.8385694
inco  5 miligramos comprimidos  56,palite  400 miligramos comprimidos  5,0.88109994
inco  5 miligramos comprimidos  56,rabloc 5 miligramos comprimidos  30,0.87998587
inco  5 miligramos comprimidos  56,misile 750 miligramos comprimidos recubierto  5,0.8747049
idacio idacio 40 miligramos,pulsar enzimatico comprimidos  40,0.9251605
idacio idacio 40 miligramos,pervicol toallas toallas antibacter  40,0.90958405
idacio idacio 40 miligramos,pulsar forte comprimidos  40,0.90025127
lamilea envase  60 comprimidos,mosar enzimatico comprimidos  60,0.96320355
lamilea envase  60 comprimidos,plenovit magnesioe comprimidos  60,0.9500742
lamilea envase  60 comprimidos,neumoterol pediatrico capsulas  60 aplic,0.9485235
leval 20 miligramos  30 comprimidos,idesole 30 miligramos comprimidos recubierto  20,0.9707938
leval 20 miligramos  30 comprimidos,olane 20 miligramos comprimidos recubierto  30,0.97043455
leval 20 miligramos  30 comprimidos,olmec 20 miligramos comprimidos  30,0.9451293
leval 20 miligramos  60 comprimidos,rabloc 20 miligramos comprimidos  60,0.967387
leval 20 miligramos  60 comprimidos,acotral 10 miligramos comprimidos  20,0.876066
leval 20 miligramos  60 comprimidos,idesole ii 45 miligramos comprimidos  60,0.8754335
lisotyr comprimidos  30,idesole plus comprimidos  30,0.91168976
lisotyr comprimidos  30,mosar plus comprimidos  30,0.9049884
lisotyr comprimidos  30,akatinol comprimidos  30,0.89902705
lisotyr comprimidos  60,idesole plus comprimidos  60,0.9117353
lisotyr comprimidos  60,mosar plus comprimidos  60,0.9058207
lisotyr comprimidos  60,neumoterol pediatrico capsulas  60 aplic,0.88773507
novotinib novotinib 50 miligramos  120 capsulas,rinisona bronquial 50 microgramo aer  120 dosis,0.92293096
novotinib novotinib 50 miligramos  120 capsulas,nateglin 120 miligramos comprimidos  48,0.85422987
novotinib novotinib 50 miligramos  120 capsulas,nateglin 120 miligramos comprimidos  84,0.85224074
novotinib novotinib 150 miligramos  120 capsulas,nateglin 120 miligramos comprimidos  48,0.854677
novotinib novotinib 150 miligramos  120 capsulas,nateglin 120 miligramos comprimidos  84,0.8527866
novotinib novotinib 150 miligramos  120 capsulas,neumoterol pediatrico capsulas  120 saplicador,0.83106285
novotinib novotinib 200 miligramos  120 capsulas,nateglin 120 miligramos comprimidos  48,0.85318977
novotinib novotinib 200 miligramos  120 capsulas,nateglin 120 miligramos comprimidos  84,0.85131973
novotinib novotinib 200 miligramos  120 capsulas,dexa aminofilin 200 miligramos inyectable  3,0.8476304
nevirapina elea envase  60 comprimidos,mosar enzimatico comprimidos  60,0.9425685
nevirapina elea envase  60 comprimidos,neumoterol pediatrico capsulas  60 aplic,0.9424084
nevirapina elea envase  60 comprimidos,mosar plus comprimidos  60,0.9363493
nove  100 miligramos envase  2 viales,dafe  100 miligramos compdispers  30,0.8526168
nove  100 miligramos envase  2 viales,omate  100 miligramos jeringa prellenada  10,0.8436118
nove  100 miligramos envase  2 viales,omate  40 miligramos jeringa prellenada  2,0.8420441
nove  500 miligramos envase  1 vial,misile 500 miligramos inyvial  1  100 mililitros,0.87277585
nove  500 miligramos envase  1 vial,omate  40 miligramos jeringa prellenada  1,0.84738094
nove  500 miligramos envase  1 vial,mosar 1% pvopsusporal  60 mililitros,0.84555155
perciclib 75 miligramos capsulas  21,doxtran 75 miligramos compreclibprol  20,0.8540298
perciclib 75 miligramos capsulas  21,doxtran 75 miligramos compreclibprol  10,0.8528997
perciclib 75 miligramos capsulas  21,nefazan 75 miligramos comprimidos  60,0.8416603
perciclib 100 miligramos capsulas  21,allopurinol phoeni  300 miligramos capsulas  100,0.85504895
perciclib 100 miligramos capsulas  21,dexa aminofilin 200 miligramos jarabe  100 mililitros,0.8480906
perciclib 100 miligramos capsulas  21,doxtran 50 miligramos comprimidos recubierto  100,0.84149724
perciclib 125 miligramos capsulas  21,rudoxil 125 miligramos comprimidos  28,0.8502249
perciclib 125 miligramos capsulas  21,teosona micro 125 miligramos capsulas  20,0.8414147
perciclib 125 miligramos capsulas  21,olane xr 125 miligramos comprimidos  10,0.8388913
regitrat 100 miligramos  28 comprimidos,normital 100 miligramos comprimidos  30,0.8752817
regitrat 100 miligramos  28 comprimidos,teosona 100 miligramos dividosis comprimidos  20,0.8697253
regitrat 100 miligramos  28 comprimidos,palite  100 miligramos comprimidos  30,0.8696958
regitrat 400 miligramos  28 comprimidos,palite  400 miligramos comprimidos  5,0.86873156
regitrat 400 miligramos  28 comprimidos,mezine xr 75 miligramos comprimidos  28,0.8623296
regitrat 400 miligramos  28 comprimidos,mezine xr 225 miligramos comprimidos  28,0.8613149
regitrat 500 miligramos  28 comprimidos,causalon 500 miligramos comprimidos  20,0.8762027
regitrat 500 miligramos  28 comprimidos,impedil 500 miligramos comprimidos  20,0.872146
regitrat 500 miligramos  28 comprimidos,misile 500 miligramos comprimidos recubierto  7,0.8671247
reglicat reglicat 30 miligramos comprimidos  28,pioglit 30 miligramos comprimidos  15,0.87983495
reglicat reglicat 30 miligramos comprimidos  28,pioglit 45 miligramos comprimidos  30,0.8794407
reglicat reglicat 30 miligramos comprimidos  28,pioglit 15 miligramos comprimidos  30,0.8790537
reglicat reglicat 40 miligramos comprimidos  28,rudoxil crema 40 miligramos capsulas  28,0.93113375
reglicat reglicat 40 miligramos comprimidos  28,kalter 40 miligramos comprimidos recubierto  60,0.87047666
reglicat reglicat 40 miligramos comprimidos  28,kalter 40 miligramos comprimidos recubierto  30,0.8694139
remivir comprimidos recubiertos  30,kalter forte comprimidos recubierto  30,0.9663479
remivir comprimidos recubiertos  30,holomagnesio vital comprimidos recubierto  30,0.95736706
remivir comprimidos recubiertos  30,fioton comprimidos recubierto  30,0.9553343
ricentan 10 miligramos  30 comprimidos recubiertos,dafe  10 miligramos comprimidos  30,0.96810615
ricentan 10 miligramos  30 comprimidos recubiertos,acotral 10 miligramos comprimidos  30,0.9666948
ricentan 10 miligramos  30 comprimidos recubiertos,loreme  antialergico 10 miligramos comprimidos  30,0.955558
rofek 5 miligramos  60 comprimidos,rabloc 5 miligramos comprimidos  30,0.881704
rofek 5 miligramos  60 comprimidos,rabloc 20 miligramos comprimidos  60,0.88010335
rofek 5 miligramos  60 comprimidos,rabloc 10 miligramos comprimidos  60,0.87970805
rofek xr 11 miligramos comprimidos  30,olane xr 25 miligramos comprimidos  30,0.8850536
rofek xr 11 miligramos comprimidos  30,olane xr 375 miligramos comprimidos  30,0.88381875
rofek xr 11 miligramos comprimidos  30,olane xr 125 miligramos comprimidos  30,0.88260657
serilon serilon 15 miligramos  28 comprimidos,mezine xr 75 miligramos comprimidos  28,0.86751866
serilon serilon 15 miligramos  28 comprimidos,mezine xr 225 miligramos comprimidos  28,0.8667109
serilon serilon 15 miligramos  28 comprimidos,pioglit 45 miligramos comprimidos  15,0.8666278
serilon serilon 30 miligramos  28 comprimidos,olane xr 25 miligramos comprimidos  30,0.8714896
serilon serilon 30 miligramos  28 comprimidos,normital 100 miligramos comprimidos  30,0.87060446
serilon serilon 30 miligramos  28 comprimidos,olane xr 375 miligramos comprimidos  30,0.8684789
simplir comprimidos envase  30 comprimidos rec,mosar enzimatico comprimidos  30,0.9475505
simplir comprimidos envase  30 comprimidos rec,kalter forte comprimidos recubierto  30,0.94747466
simplir comprimidos envase  30 comprimidos rec,fioton comprimidos recubierto  30,0.94010115
surpre  125 miligramos  28 cpsulas,rudoxil 125 miligramos comprimidos  28,0.9530038
surpre  125 miligramos  28 cpsulas,mezine xr 75 miligramos comprimidos  28,0.86736876
surpre  125 miligramos  28 cpsulas,olane xr 125 miligramos comprimidos  10,0.8665598
surpre  25 miligramos  28 cpsulas,rudoxil 25 miligramos comprimidos  28,0.94996864
surpre  25 miligramos  28 cpsulas,olane xr 25 miligramos comprimidos  10,0.8698031
surpre  25 miligramos  28 cpsulas,olane xr 25 miligramos comprimidos  30,0.8689214
surpre  50 miligramos  28 cpsulas,mezine xr 75 miligramos comprimidos  28,0.864333
surpre  50 miligramos  28 cpsulas,dafe  50 miligramos compdispers  30,0.86292493
surpre  50 miligramos  28 cpsulas,mezine xr 150 miligramos comprimidos  28,0.86235064
tenofovir 300 miligramos envase  30 comprimidos,pioglit 30 miligramos comprimidos  30,0.8734858
tenofovir 300 miligramos envase  30 comprimidos,pioglit 30 miligramos comprimidos  15,0.87314826
tenofovir 300 miligramos envase  30 comprimidos,pioglit 15 miligramos comprimidos  30,0.8726054
terfun 20819 miligramos comprimidos  20,rabloc 20 miligramos comprimidos  60,0.8844353
terfun 20819 miligramos comprimidos  20,rabloc 20 miligramos comprimidos  15,0.88305056
terfun 20819 miligramos comprimidos  20,tanakan 120 miligramos comprimidos  20,0.8796419
terfun 20819 miligramos comprimidos  60,rabloc 20 miligramos comprimidos  60,0.88360226
terfun 20819 miligramos comprimidos  60,rabloc 10 miligramos comprimidos  60,0.8831351
terfun 20819 miligramos comprimidos  60,nefazan 75 miligramos comprimidos  60,0.8716918
vaxira inyectable envase  1 frasco ampolla,proterenal inyeccion lioffa  1,0.9516469
vaxira inyectable envase  1 frasco ampolla,micranil inyectable  1,0.92272234
vaxira inyectable envase  1 frasco ampolla,mosar 1% pvopsusporal  60 mililitros,0.8435261
visedge 150 miligramos  28 capsulas,mezine xr 150 miligramos comprimidos  28,0.9417616
visedge 150 miligramos  28 capsulas,rudoxil crema 10 miligramos capsulas  28,0.8602512
visedge 150 miligramos  28 capsulas,rudoxil crema 20 miligramos capsulas  28,0.8588795
zalute  40 miligramos envase  120 cpsulas,omate  40 miligramos jeringa prellenada  2,0.86112285
zalute  40 miligramos envase  120 cpsulas,omate  40 miligramos jeringa prellenada  1,0.85847014
zalute  40 miligramos envase  120 cpsulas,tanakan 120 miligramos comprimidos  20,0.85770696
zalute  80 miligramos comprimidos  56,rudoxil crema 80 miligramos capsulas  28,0.8593739
zalute  80 miligramos comprimidos  56,plenovit vitamina e adcomp  80,0.84146863
zalute  80 miligramos comprimidos  56,vanticon comprimidos  56,0.84123796
8 horas 2 miligramos comprimidos  30,doxolbran 2 miligramos comprimidos  30,0.8914916
8 horas 2 miligramos comprimidos  30,normital 25 miligramos comprimidos  30,0.8501853
8 horas 2 miligramos comprimidos  30,olane xr 25 miligramos comprimidos  30,0.84931237
8 horas 3 miligramos comprimidos  30,idesole ii 45 miligramos comprimidos  30,0.8491756
8 horas 3 miligramos comprimidos  30,normital 25 miligramos comprimidos  30,0.8490979
8 horas 3 miligramos comprimidos  30,olane xr 25 miligramos comprimidos  30,0.849072
abara  100 miligramos comprimidos  100,normital 100 miligramos comprimidos  30,0.8862789
abara  100 miligramos comprimidos  100,palite  100 miligramos comprimidos  30,0.87969357
abara  100 miligramos comprimidos  100,palite  100 miligramos comprimidos  20,0.87824494
abara  50 miligramos comprimidos  100,doxtran 50 miligramos comprimidos recubierto  100,0.9704145
abara  50 miligramos comprimidos  100,neumote  nasal ped 50 microgramo spray  100 dosis,0.9178588
abara  50 miligramos comprimidos  100,normital 100 miligramos comprimidos  30,0.8855771
adermicina adermicina jabon limpieza fac pack farm,inteligen ginseng fuerte comprimidos recubierto  20,0.7525721
adermicina adermicina jabon limpieza fac pack farm,inteligen ginseng fuerte comprimidos recubierto  50,0.75205106
adermicina adermicina jabon limpieza fac pack farm,proterenal inyeccion lioffa  1,0.74807644
adermicina adermicina jabon limpieza fac pack  6,doxtran b 12 inyeccion frasco ampolla  6,0.8323029
adermicina adermicina jabon limpieza fac pack  6,xanol 6 microgramo capsulas  60,0.8097156
adermicina adermicina jabon limpieza fac pack  6,xanol 6 microgramo capsulas  30,0.8092828
adermicina crema  30 gramos,pervino  gasa  30,0.9452187
adermicina crema  30 gramos,pervino  pda  30 gramos,0.9425993
adermicina crema  30 gramos,flebitol comprimidos  30,0.94140923
kit adermicina facial kit regalo adermicina facial,pervino  antiseptico bucal fresh mint  240 mililitros,0.7251073
kit adermicina facial kit regalo adermicina facial,pervino  antiseptico bucal fresh mint  480 mililitros,0.7221351
kit adermicina facial kit regalo adermicina facial,omate  40 miligramos jeringa prellenada  2,0.7220222
adermicina a a crema  30 gramos 2  1,causalon 300 miligramos sup  2  1 gramos,0.8685398
adermicina a a crema  30 gramos 2  1,doxolbran 2 miligramos comprimidos  30,0.8446818
adermicina a a crema  30 gramos 2  1,mosar enzimatico comprimidos  30,0.82369953
adermicina a crema  30 gramos,pervino  pda  30 gramos,0.95432174
adermicina a crema  30 gramos,mosar enzimatico comprimidos  30,0.94832325
adermicina a crema  30 gramos,flebitol comprimidos  30,0.9443736
adermicina a crema  60 gramos,mosar enzimatico comprimidos  60,0.94617826
adermicina a crema  60 gramos,neumoterol pediatrico capsulas  60 aplic,0.9446685
adermicina a crema  60 gramos,plenovit multivitaminas adcomp  60,0.93283
adermicina ae emuls  400 mililitros,palite  400 miligramos comprimidos  5,0.8557086
adermicina ae emuls  400 mililitros,ibuprofeni  mujer 400 miligramos comprimidos  10,0.8407689
adermicina ae emuls  400 mililitros,ibuprofeni  400 miligramos comprimidos  20,0.83208567
adermicina ae crema  200 mililitros,pervino  quirurgico envase  200 mililitros,0.95627654
adermicina ae crema  200 mililitros,pervino  soltpica  200 mililitros,0.9523336
adermicina ae crema  200 mililitros,cvp cellulite gel crema  200 mililitros,0.94924563
adermicina anti  acne pack  2,omate  40 miligramos jeringa prellenada  2,0.82237536
adermicina anti  acne pack  2,doxolbran 2 miligramos comprimidos  30,0.82112485
adermicina anti  acne pack  2,omate  20 miligramos jeringa prellenada  2,0.8188154
adermicina anti  acne gel  30 gramos,plenovit melatonina comprimidos  30,0.9318128
adermicina anti  acne gel  30 gramos,plenovit vitamina c adcompmast  30,0.92637736
adermicina anti  acne gel  30 gramos,flebitol comprimidos  30,0.9251557
adermicina facial antiarruga crema 90 gramos,causalon ibu susporal  90 mililitros,0.93387175
adermicina facial antiarruga crema 90 gramos,nateglin 90 miligramos comprimidos  24,0.8247693
adermicina facial antiarruga crema 90 gramos,nateglin 90 miligramos comprimidos  48,0.8238811
adermicina facial unificadora crema 90 gramos,causalon ibu susporal  90 mililitros,0.924216
adermicina facial unificadora crema 90 gramos,nateglin 90 miligramos comprimidos  24,0.7980519
adermicina facial unificadora crema 90 gramos,nateglin 90 miligramos comprimidos  48,0.79720426
adermicina facial humectante crema 90 gramos,causalon ibu susporal  90 mililitros,0.9359285
adermicina facial humectante crema 90 gramos,nateglin 90 miligramos comprimidos  24,0.8066273
adermicina facial humectante crema 90 gramos,nateglin 90 miligramos comprimidos  48,0.8055563
adermicina facial adermicina agua micelar  400 mililitros,palite  400 miligramos comprimidos  5,0.8507393
adermicina facial adermicina agua micelar  400 mililitros,ibuprofeni  mujer 400 miligramos comprimidos  10,0.83508086
adermicina facial adermicina agua micelar  400 mililitros,ibuprofeni  400 miligramos comprimidos  20,0.82040256
aeroxina 250 miligramos susp frasco  60 mililitros,normatensil as 250 miligramos comprimidos recubierto  40,0.87448627
aeroxina 250 miligramos susp frasco  60 mililitros,normatensil as 250 miligramos comprimidos recubierto  20,0.8739365
aeroxina 250 miligramos susp frasco  60 mililitros,mosar 25 miligramos comprimidos recubierto  60,0.872005
aeroxina 500 miligramos comprimidos  16,safoxen 500 miligramos comprimidos  10,0.8863421
aeroxina 500 miligramos comprimidos  16,impedil 500 miligramos comprimidos  20,0.88437104
aeroxina 500 miligramos comprimidos  16,causalon 500 miligramos comprimidos  20,0.8711253
aeroxina ud 500 miligramos  10 compreclibprogr,safoxen 500 miligramos comprimidos  10,0.9155923
aeroxina ud 500 miligramos  10 compreclibprogr,causalon pro 500 500 miligramos comprimidos recubierto  10,0.87273914
aeroxina ud 500 miligramos  10 compreclibprogr,olane xr 25 miligramos comprimidos  10,0.85299
aeroxina ud 500 miligramos  5 compreclibprogr,mosar 5 miligramos comprimidos recubierto  40,0.8502776
aeroxina ud 500 miligramos  5 compreclibprogr,misile 500 miligramos comprimidos recubierto  7,0.8489993
aeroxina ud 500 miligramos  5 compreclibprogr,dafe  5 miligramos compdispers  30,0.84886837
aeroxina ud 500 miligramos  8 compreclibprogr,misile 500 miligramos comprimidos recubierto  7,0.8456591
aeroxina ud 500 miligramos  8 compreclibprogr,causalon 500 miligramos comprimidos  20,0.833339
aeroxina ud 500 miligramos  8 compreclibprogr,impedil 500 miligramos comprimidos  20,0.83007157
agarol chicle fruta blister por 12,loreme  antigripal comprimidos  12,0.9217613
agarol chicle fruta blister por 12,agiofibras sobres  12,0.91122365
agarol chicle fruta blister por 12,agiola  sobres  12,0.88092744
agarol ciruela frasco por 180 mililitros,pervisept spray  180 mililitros,0.9000989
agarol ciruela frasco por 180 mililitros,clare  compuesto solucion oftalmica  5 mililitros,0.77321255
agarol ciruela frasco por 180 mililitros,arixtra 75 miligramos 06 mililitros jeringa prellenada  5,0.7683062
agarol frutilla frasco por 180 mililitros,pervisept spray  180 mililitros,0.9328668
agarol frutilla frasco por 180 mililitros,usar fibras frasco  250 mililitros,0.77354425
agarol frutilla frasco por 180 mililitros,pervino  antiseptico bucal extra mint  65 mililitros,0.7676383
agarol frutilla frasco por 390 mililitros,usar fibras frasco  250 mililitros,0.77399135
